feat_values_sorted	pred_f_3d_avg_sorted	pred_f_3d_sd_sorted	pred_f_3d_max_sorted	pred_f_3d_min_sorted
0.27810	0.02561	0.00543	0.03495	0.01649
0.33146	0.03193	0.00666	0.04174	0.02053
0.35280	0.03315	0.00642	0.04049	0.02187
0.36347	0.03478	0.00632	0.04217	0.02254
0.36347	0.03611	0.00750	0.04583	0.02254
0.37414	0.03757	0.00752	0.04720	0.02321
0.38482	0.03929	0.00763	0.04857	0.02388
0.40616	0.04361	0.00759	0.05132	0.02523
0.40616	0.04126	0.00783	0.05132	0.02523
0.41683	0.04272	0.00819	0.05270	0.02591
0.42750	0.04639	0.00873	0.05408	0.02659
0.44884	0.04622	0.00932	0.05685	0.02796
0.47019	0.05300	0.00710	0.05963	0.03971
0.49153	0.05310	0.01076	0.06273	0.03071
0.50220	0.05450	0.01055	0.06381	0.03140
0.51287	0.05439	0.01030	0.06624	0.03209
0.51287	0.05714	0.01072	0.06624	0.03209
0.52354	0.05560	0.01042	0.06662	0.03279
0.52354	0.05591	0.01075	0.06800	0.03279
0.52354	0.05684	0.01057	0.06800	0.03279
0.56623	0.06698	0.00674	0.07510	0.05646
0.58757	0.06227	0.01216	0.07869	0.03701
0.58757	0.05984	0.01207	0.07450	0.03701
0.59825	0.06433	0.01402	0.07930	0.03772
0.65160	0.07339	0.01398	0.08959	0.04130
0.68362	0.08054	0.01042	0.09512	0.06673
0.68362	0.07644	0.01534	0.09512	0.04347
0.70496	0.08423	0.01034	0.09751	0.06951
0.71563	0.07963	0.01756	0.09932	0.04566
0.71563	0.08386	0.01700	0.10071	0.04566
0.76899	0.08682	0.01865	0.11015	0.04937
0.81168	0.09438	0.01949	0.11782	0.05237
0.85436	0.09973	0.02073	0.12559	0.05542
0.90772	0.10197	0.02329	0.13188	0.05928
0.91839	0.11778	0.01479	0.13744	0.09660
0.93973	0.10962	0.02433	0.14145	0.06164
0.93973	0.11949	0.01516	0.14145	0.09694
0.95041	0.11164	0.02319	0.14347	0.06243
1.03578	0.12422	0.02635	0.15983	0.06884
1.11048	0.13222	0.02970	0.17452	0.07461
1.11048	0.13431	0.03045	0.17452	0.07461
1.11048	0.14219	0.01941	0.17452	0.11435
1.12115	0.13215	0.03001	0.17665	0.07545
1.13182	0.14544	0.03083	0.17878	0.07629
1.13182	0.14446	0.02099	0.17878	0.11650
1.14249	0.14908	0.02039	0.18093	0.11758
1.16384	0.15009	0.01959	0.18524	0.11973
1.16384	0.14292	0.02904	0.18524	0.07882
1.19585	0.12727	0.02717	0.16557	0.08139
1.20652	0.15210	0.03264	0.19394	0.08225
1.20652	0.14896	0.03037	0.19394	0.08225
1.25988	0.16337	0.02443	0.20500	0.12932
1.36660	0.18040	0.02609	0.22770	0.13984
1.38794	0.17800	0.03958	0.23234	0.09742
1.43062	0.17742	0.03775	0.24171	0.10115
1.45197	0.18303	0.04018	0.24645	0.10303
1.46264	0.18503	0.04274	0.24883	0.10397
1.48398	0.17716	0.03763	0.22373	0.10588
1.50532	0.18123	0.03858	0.22685	0.10780
1.58003	0.18904	0.03719	0.22487	0.11465
1.58003	0.21369	0.03635	0.27557	0.16033
1.62271	0.19268	0.03937	0.24355	0.11865
1.75077	0.22662	0.05391	0.31635	0.13106
1.76144	0.22052	0.04440	0.26214	0.13212
1.78278	0.24022	0.04930	0.32425	0.13426
1.82547	0.24142	0.05468	0.33492	0.13859
2.11360	0.30577	0.05382	0.41095	0.20748
2.39106	0.34281	0.07513	0.49118	0.20335
2.54046	0.32578	0.06457	0.42259	0.22301
2.90329	0.43625	0.11806	0.65914	0.26215
