feat_values_sorted	pred_f_3d_avg_sorted	pred_f_3d_sd_sorted	pred_f_3d_max_sorted	pred_f_3d_min_sorted
-2.19101	0.05550	0.04371	0.12946	0.00000
-2.13533	0.04758	0.03737	0.11141	0.00000
-2.12420	0.05215	0.03389	0.10793	0.00000
-2.04624	0.03387	0.02728	0.08471	0.00000
-1.99056	0.02758	0.02205	0.06935	0.00000
-1.93487	0.02448	0.02080	0.05498	0.00000
-1.79010	0.00901	0.00640	0.02206	0.00000
-1.73441	0.00337	0.00331	0.01105	0.00000
-1.71214	0.00166	0.00266	0.00689	-0.00148
-1.70100	0.00107	0.00271	0.00622	-0.00327
-1.66759	-0.00103	0.00331	0.00441	-0.00844
-1.63418	-0.00328	0.00471	0.00269	-0.01331
-1.55623	-0.00929	0.00858	0.00000	-0.02350
-1.52282	-0.01137	0.01009	0.00000	-0.02739
-1.40032	-0.01730	0.01387	0.00000	-0.03932
-1.38918	-0.01912	0.01455	0.00000	-0.04023
-1.32236	-0.01914	0.01657	0.00000	-0.04509
-1.24440	-0.02292	0.02034	0.00000	-0.05075
-1.22213	-0.02531	0.01874	0.00000	-0.05222
-1.15531	-0.02333	0.02115	0.00000	-0.05599
-1.12190	-0.02393	0.01884	0.00000	-0.05754
-1.09963	-0.02624	0.01999	0.00000	-0.05845
-1.06622	-0.03155	0.02057	0.00000	-0.05963
-1.06622	-0.02161	0.01862	0.00000	-0.05509
-1.05508	-0.02416	0.02095	0.00000	-0.05998
-1.03281	-0.02034	0.01824	0.00000	-0.05547
-1.02167	-0.02446	0.02117	0.00000	-0.06089
-0.97713	-0.02006	0.02142	0.00000	-0.06178
-0.94372	-0.02956	0.02130	0.00000	-0.06222
-0.93258	-0.02487	0.02143	0.00000	-0.06232
-0.88803	-0.02421	0.01950	0.00000	-0.06253
-0.88803	-0.01961	0.02031	0.00000	-0.06253
-0.85462	-0.01786	0.01725	0.00000	-0.05442
-0.85462	-0.01993	0.02082	0.00000	-0.05442
-0.83235	-0.02880	0.02189	0.00000	-0.06233
-0.81008	-0.02034	0.02050	0.00000	-0.06211
-0.81008	-0.02506	0.02245	0.00000	-0.06211
-0.79894	-0.02373	0.02261	0.00000	-0.06198
-0.79894	-0.02030	0.01775	0.00000	-0.05311
-0.78780	-0.01764	0.01706	0.00000	-0.05279
-0.75439	-0.03010	0.01871	-0.00848	-0.06125
-0.74326	-0.02604	0.02245	0.00000	-0.06102
-0.70985	-0.02493	0.02082	0.00000	-0.06023
-0.70985	-0.02561	0.02207	0.00000	-0.06023
-0.66530	-0.02339	0.02092	0.00000	-0.05894
-0.64303	-0.01870	0.02007	0.00000	-0.05820
-0.63189	-0.02669	0.01900	0.00000	-0.05780
-0.62075	-0.01583	0.01367	0.00000	-0.03754
-0.60962	-0.02026	0.01834	0.00000	-0.05697
-0.58734	-0.02005	0.01473	0.00000	-0.04449
-0.56507	-0.02208	0.01887	0.00000	-0.05511
-0.54280	-0.02076	0.01770	0.00000	-0.05409
-0.53166	-0.02280	0.01697	0.00000	-0.05356
-0.49825	-0.01621	0.01373	0.00000	-0.03940
-0.48711	-0.01934	0.01743	0.00000	-0.05130
-0.48711	-0.02279	0.01439	0.00000	-0.03872
-0.47598	-0.01620	0.01407	0.00000	-0.03802
-0.46484	-0.02063	0.01772	0.00000	-0.05008
-0.46484	-0.02031	0.01655	0.00000	-0.05008
-0.42030	-0.01457	0.01223	0.00000	-0.03437
-0.40916	-0.01861	0.01518	0.00000	-0.04684
-0.39802	-0.01644	0.01196	0.00000	-0.03284
-0.39802	-0.01590	0.01491	0.00000	-0.04615
-0.39802	-0.01666	0.01505	0.00000	-0.04615
-0.37575	-0.01612	0.01459	0.00000	-0.04474
-0.36461	-0.01538	0.01440	0.00000	-0.04402
-0.36461	-0.01697	0.01460	0.00000	-0.04402
-0.35348	-0.01119	0.01372	0.00000	-0.04329
-0.30893	-0.01887	0.01281	0.00000	-0.04026
-0.30893	-0.01384	0.01300	0.00000	-0.04026
-0.29779	-0.01003	0.00942	0.00000	-0.02554
-0.28666	-0.01142	0.01213	0.00000	-0.03868
-0.27552	-0.01892	0.01318	0.00000	-0.03788
-0.26438	-0.01305	0.00860	0.00000	-0.02345
-0.21984	-0.01234	0.01171	0.00000	-0.03372
-0.21984	-0.01242	0.01080	0.00000	-0.03372
-0.18643	-0.01030	0.01002	0.00000	-0.03113
-0.18643	-0.00898	0.00970	0.00000	-0.03113
-0.16415	-0.01050	0.00927	0.00000	-0.02936
-0.16415	-0.00936	0.01025	0.00000	-0.02936
-0.15302	-0.01145	0.00935	0.00000	-0.02846
-0.13074	-0.00897	0.00798	0.00000	-0.02664
-0.13074	-0.00833	0.00565	0.00000	-0.01636
-0.10847	-0.00857	0.00769	0.00000	-0.02480
-0.08620	-0.00777	0.00708	0.00000	-0.02293
-0.07506	-0.00650	0.00731	0.00000	-0.02198
-0.06392	-0.00662	0.00622	0.00000	-0.02103
-0.05279	-0.00654	0.00618	0.00000	-0.02007
-0.05279	-0.00751	0.00652	0.00000	-0.02007
-0.01938	-0.00593	0.00532	0.00000	-0.01717
-0.00824	-0.00461	0.00487	0.00000	-0.01619
0.01403	-0.00225	0.00227	0.00012	-0.00724
0.03631	-0.00308	0.00418	0.00204	-0.01224
0.04744	-0.00120	0.00266	0.00300	-0.00595
0.05858	-0.00231	0.00406	0.00396	-0.01023
0.11426	-0.00118	0.00176	0.00108	-0.00516
0.12540	0.00043	0.00375	0.00973	-0.00414
0.13653	0.00097	0.00387	0.01068	-0.00311
0.13653	0.00120	0.00342	0.01068	-0.00066
0.13653	0.00089	0.00366	0.01068	-0.00311
0.15881	0.00218	0.00400	0.01260	0.00000
0.18108	0.00118	0.00104	0.00289	0.00000
0.18108	0.00300	0.00445	0.01450	0.00000
0.20335	0.00333	0.00483	0.01640	0.00000
0.21449	0.00367	0.00509	0.01734	0.00000
0.21449	0.00396	0.00531	0.01734	0.00000
0.23676	0.00478	0.00588	0.01922	0.00000
0.24790	0.00518	0.00591	0.02015	0.00000
0.28131	0.00483	0.00365	0.01035	0.00000
0.29245	0.00674	0.00719	0.02385	0.00000
0.31472	0.00992	0.00815	0.02568	0.00000
0.31472	0.00749	0.00744	0.02568	0.00000
0.32586	0.00963	0.00898	0.02658	0.00000
0.35927	0.01016	0.00859	0.02926	0.00000
0.35927	0.00946	0.00930	0.02926	0.00000
0.37040	0.00641	0.00601	0.01865	0.00000
0.38154	0.00889	0.00923	0.03103	0.00000
0.39268	0.01079	0.01009	0.03190	0.00000
0.39268	0.01038	0.00947	0.03190	0.00000
0.42609	0.01120	0.01112	0.03447	0.00000
0.43722	0.00998	0.00902	0.02480	0.00000
0.43722	0.01200	0.01093	0.03532	0.00000
0.43722	0.00784	0.00727	0.01830	0.00000
0.43722	0.01276	0.01126	0.03532	0.00000
0.43722	0.01333	0.01072	0.03532	0.00000
0.43722	0.01200	0.01093	0.03532	0.00000
0.44836	0.01129	0.00897	0.02581	0.00000
0.45950	0.00901	0.00914	0.02683	0.00000
0.47063	0.01349	0.01249	0.03781	0.00000
0.47063	0.01045	0.00961	0.02784	0.00000
0.51518	0.01640	0.01284	0.04101	0.00000
0.52632	0.01132	0.00843	0.02369	0.00000
0.58200	0.01746	0.01571	0.04556	0.00000
0.58200	0.01706	0.01467	0.04556	0.00000
0.58200	0.01703	0.01496	0.04556	0.00000
0.64882	0.01823	0.01709	0.04974	0.00000
0.65996	0.01313	0.01148	0.03141	0.00000
0.67109	0.02110	0.01781	0.05104	0.00000
0.67109	0.02210	0.01682	0.05104	0.00000
0.69336	0.02134	0.01908	0.05230	0.00000
0.69336	0.02013	0.01764	0.05230	0.00000
0.70450	0.02614	0.01652	0.05291	0.00663
0.70450	0.01952	0.01500	0.04790	0.00000
0.71564	0.02655	0.01675	0.05351	0.00676
0.71564	0.02224	0.01851	0.05351	0.00000
0.72677	0.02523	0.01884	0.05410	0.00000
0.73791	0.02418	0.02001	0.05467	0.00000
0.78246	0.02271	0.02191	0.05683	0.00000
0.79359	0.02344	0.02015	0.05733	0.00000
0.81587	0.02756	0.02099	0.05830	0.00000
0.81587	0.02472	0.02163	0.05830	0.00000
0.84928	0.03255	0.02161	0.05964	0.00813
0.86041	0.02617	0.02247	0.06006	0.00000
0.88269	0.02755	0.02241	0.06102	0.00000
0.90496	0.03230	0.02366	0.06248	0.00000
0.96064	0.03123	0.02362	0.06593	0.00000
1.06087	0.02386	0.02348	0.07137	0.00000
1.09428	0.02478	0.02165	0.06489	0.00000
1.10542	0.02900	0.02628	0.07343	0.00000
1.14997	0.02493	0.02634	0.07526	0.00000
1.26133	0.02950	0.02605	0.07871	0.00000
1.28360	0.03781	0.02925	0.07920	0.00000
1.37270	0.02540	0.02151	0.05894	0.00000
1.50634	0.03330	0.02699	0.07990	0.00000
1.51747	0.02386	0.02001	0.05608	0.00000
1.52861	0.02813	0.02704	0.07952	0.00000
1.59543	0.02591	0.02520	0.07784	0.00000
1.62884	0.03723	0.02588	0.07669	0.00000
1.74021	0.02648	0.02173	0.07126	0.00000
1.77362	0.01225	0.01177	0.03769	0.00000
1.79589	0.02307	0.01462	0.04872	0.00832
2.09658	0.00496	0.02155	0.03558	-0.03958
2.12999	0.00230	0.02024	0.03065	-0.04771
2.14112	0.00811	0.01211	0.02894	-0.00635
2.19681	-0.00407	0.02367	0.01990	-0.06506
2.21908	-0.00668	0.02621	0.01605	-0.07118
2.27476	-0.01446	0.02830	0.00582	-0.08720
2.28590	-0.01542	0.02920	0.00481	-0.09054
2.43067	-0.03772	0.04163	-0.00724	-0.13789
2.56431	-0.02482	0.02185	0.00000	-0.06212
