feat_values_sorted	pred_f_3d_avg_sorted	pred_f_3d_sd_sorted	pred_f_3d_max_sorted	pred_f_3d_min_sorted
-2.07660	-0.02118	0.02624	0.00000	-0.07337
-2.04601	-0.03736	0.04784	0.00000	-0.15051
-1.96444	-0.03208	0.03786	0.00000	-0.12257
-1.93385	-0.02286	0.03499	0.00000	-0.11269
-1.88287	-0.02032	0.03029	0.00000	-0.09695
-1.87268	-0.02125	0.02862	0.00000	-0.09390
-1.76052	-0.01371	0.02065	0.00000	-0.06269
-1.68914	-0.01138	0.01696	0.00400	-0.04492
-1.67895	-0.00793	0.01461	0.00456	-0.04252
-1.66875	-0.00024	0.00337	0.00510	-0.00652
-1.64836	-0.00891	0.01211	0.00000	-0.03548
-1.51581	0.00038	0.00546	0.01224	-0.00823
-1.49542	0.00122	0.00496	0.01304	-0.00449
-1.46483	0.00241	0.00492	0.01418	-0.00021
-1.45463	0.00283	0.00441	0.01455	0.00000
-1.43424	0.00329	0.00453	0.01525	0.00000
-1.41385	0.00330	0.00328	0.00933	0.00000
-1.41385	0.00557	0.00518	0.01592	0.00000
-1.40365	0.00469	0.00539	0.01624	0.00000
-1.40365	0.00465	0.00571	0.01624	0.00000
-1.39346	0.00431	0.00521	0.01656	0.00000
-1.38326	0.00560	0.00584	0.01687	0.00000
-1.34248	0.00540	0.00579	0.01802	0.00000
-1.29150	0.00972	0.00874	0.02671	0.00000
-1.27110	0.00704	0.01043	0.02923	0.00000
-1.16914	0.00991	0.01278	0.04032	0.00000
-1.16914	0.01130	0.01343	0.04032	0.00000
-1.15895	0.01356	0.01271	0.04129	0.00000
-1.06718	0.01008	0.00767	0.02104	0.00000
-1.06718	0.01244	0.01549	0.04897	0.00000
-1.03659	0.01604	0.01552	0.05111	0.00000
-1.03659	0.01604	0.01552	0.05111	0.00000
-0.99581	0.01481	0.01619	0.05365	0.00000
-0.97541	0.01247	0.01685	0.05479	0.00000
-0.94483	0.01463	0.01858	0.05634	0.00000
-0.93463	0.00766	0.00900	0.02434	0.00000
-0.92443	0.01406	0.01790	0.05727	0.00000
-0.91424	0.01470	0.01792	0.05770	0.00000
-0.90404	0.01665	0.01854	0.05811	0.00000
-0.89385	0.01298	0.01894	0.05850	0.00000
-0.81228	0.01457	0.01797	0.06092	0.00000
-0.79188	0.01021	0.01025	0.02611	0.00000
-0.78169	0.01475	0.01910	0.06151	0.00000
-0.74090	0.01207	0.00936	0.02633	0.00000
-0.74090	0.01380	0.01905	0.06203	0.00000
-0.67973	0.01377	0.01912	0.06228	0.00000
-0.66953	0.01234	0.00988	0.02629	0.00000
-0.63894	0.00913	0.00940	0.02616	0.00000
-0.63894	0.01603	0.01853	0.06210	0.00000
-0.60835	0.01429	0.01812	0.06179	0.00000
-0.59816	0.01455	0.01913	0.06165	0.00000
-0.55737	0.01455	0.02020	0.06095	0.00000
-0.48600	0.00902	0.00912	0.02456	0.00000
-0.46561	0.01885	0.01764	0.05850	0.00005
-0.42482	0.01494	0.01787	0.05705	0.00000
-0.42482	0.01553	0.01903	0.05705	0.00000
-0.39423	0.01210	0.01841	0.05581	0.00000
-0.38404	0.01253	0.01715	0.05538	0.00000
-0.36365	0.01380	0.01714	0.05446	0.00000
-0.36365	0.00733	0.00763	0.02225	0.00000
-0.35345	0.01213	0.01658	0.05399	0.00000
-0.35345	0.01323	0.01606	0.05399	0.00000
-0.35345	0.01336	0.01815	0.05399	0.00000
-0.34325	0.00917	0.00726	0.02178	0.00000
-0.32286	0.01195	0.01606	0.05249	0.00000
-0.30247	0.01141	0.01592	0.05143	0.00000
-0.29227	0.00664	0.00695	0.02053	0.00000
-0.27188	0.00614	0.00710	0.02000	0.00000
-0.27188	0.01076	0.01449	0.04976	0.00000
-0.24129	0.01054	0.01470	0.04799	0.00000
-0.15972	0.01030	0.01346	0.04281	0.00000
-0.15972	0.00465	0.00654	0.01672	0.00000
-0.15972	0.00566	0.00588	0.01672	0.00000
-0.14953	0.00933	0.01390	0.04212	0.00000
-0.13933	0.01002	0.01389	0.04142	0.00000
-0.12913	0.00862	0.01245	0.04071	0.00000
-0.11894	0.00848	0.01221	0.03999	0.00000
-0.10874	0.00891	0.01169	0.03927	0.00000
-0.09855	0.00783	0.01119	0.03853	0.00000
-0.07815	0.00468	0.00454	0.01404	0.00000
-0.07815	0.00293	0.00305	0.00799	0.00000
-0.06796	0.00726	0.01053	0.03627	0.00000
-0.06796	0.00848	0.01139	0.03627	0.00000
-0.05776	0.00785	0.01058	0.03550	0.00000
-0.05776	0.00748	0.01271	0.03550	0.00000
-0.04757	0.00686	0.01008	0.03473	0.00000
-0.03737	0.00887	0.01098	0.03394	0.00000
-0.03737	0.00790	0.01142	0.03394	0.00000
-0.01698	0.00648	0.00988	0.03235	0.00000
-0.01698	0.00663	0.01074	0.03235	0.00000
-0.01698	0.00696	0.00966	0.03235	0.00000
-0.00678	0.00706	0.00995	0.03154	0.00000
