feat_values_sorted	pred_f_3d_avg_sorted	pred_f_3d_sd_sorted	pred_f_3d_max_sorted	pred_f_3d_min_sorted
-2.66005	-0.35876	0.04907	-0.27133	-0.43245
-2.60715	-0.35222	0.06364	-0.25916	-0.44770
-2.51194	-0.37828	0.05589	-0.27366	-0.45375
-2.24746	-0.39428	0.05202	-0.30148	-0.47931
-2.17340	-0.40603	0.05272	-0.30615	-0.49282
-2.12051	-0.41172	0.05410	-0.30869	-0.50070
-2.10993	-0.40439	0.05866	-0.30912	-0.50210
-1.94066	-0.42239	0.06019	-0.31254	-0.51697
-1.83487	-0.39559	0.04276	-0.31151	-0.43887
-1.76081	-0.41061	0.05792	-0.30942	-0.51803
-1.72907	-0.39122	0.03914	-0.30818	-0.43871
-1.67618	-0.39683	0.02753	-0.34567	-0.43707
-1.60212	-0.39731	0.05543	-0.30128	-0.50746
-1.57039	-0.39269	0.04982	-0.33557	-0.50414
-1.55981	-0.38960	0.05487	-0.29831	-0.50295
-1.52807	-0.39725	0.04420	-0.36080	-0.49911
-1.46459	-0.38067	0.05654	-0.29045	-0.49034
-1.42228	-0.36168	0.05437	-0.28645	-0.48369
-1.35880	-0.36398	0.05330	-0.27988	-0.47256
-1.33764	-0.34307	0.03517	-0.27755	-0.40405
-1.31648	-0.36022	0.05211	-0.27514	-0.46439
-1.29532	-0.32830	0.02860	-0.27266	-0.36028
-1.23185	-0.33064	0.05099	-0.26480	-0.44636
-1.22127	-0.33049	0.05068	-0.26343	-0.44395
-1.18953	-0.32625	0.05306	-0.25922	-0.43653
-1.18953	-0.32881	0.04773	-0.25922	-0.43653
-1.17895	-0.33482	0.04939	-0.25778	-0.43399
-1.17895	-0.34001	0.05734	-0.27933	-0.43399
-1.16837	-0.32634	0.05265	-0.25633	-0.43141
-1.12606	-0.30993	0.05115	-0.25035	-0.42081
-1.08374	-0.29458	0.03319	-0.24412	-0.35699
-1.07316	-0.29952	0.02896	-0.25978	-0.35467
-0.95679	-0.27076	0.04590	-0.22397	-0.37366
-0.86157	-0.25936	0.03989	-0.20750	-0.34412
-0.85100	-0.25895	0.04075	-0.20561	-0.34071
-0.82984	-0.24408	0.02740	-0.20177	-0.29448
-0.81926	-0.23857	0.02697	-0.19984	-0.29158
-0.80868	-0.24484	0.03898	-0.19789	-0.32686
-0.79810	-0.24001	0.03719	-0.19592	-0.32334
-0.78752	-0.24440	0.03773	-0.19395	-0.31980
-0.75578	-0.22899	0.03606	-0.19259	-0.30905
-0.72404	-0.22293	0.03594	-0.18184	-0.29811
-0.72404	-0.22603	0.03586	-0.18528	-0.29811
-0.70289	-0.21934	0.03329	-0.18037	-0.29072
-0.64999	-0.19222	0.02473	-0.16718	-0.24265
-0.63941	-0.19696	0.03013	-0.16504	-0.26809
-0.63941	-0.19505	0.03362	-0.16504	-0.26809
-0.63941	-0.19705	0.03327	-0.16504	-0.26809
-0.59709	-0.18640	0.03016	-0.15523	-0.25264
-0.57593	-0.18308	0.03207	-0.15010	-0.24482
-0.56536	-0.17658	0.03040	-0.14753	-0.24088
-0.55478	-0.17017	0.02063	-0.14495	-0.21314
-0.50188	-0.16218	0.02683	-0.13194	-0.21694
-0.49130	-0.14499	0.01282	-0.12931	-0.16502
-0.48072	-0.15639	0.02565	-0.12669	-0.20885
-0.48072	-0.15770	0.02693	-0.12669	-0.20885
-0.48072	-0.15188	0.02589	-0.12669	-0.20885
-0.47014	-0.15246	0.02605	-0.12405	-0.20478
-0.45956	-0.14820	0.02781	-0.12141	-0.20070
-0.44898	-0.14323	0.02292	-0.11909	-0.19661
-0.43840	-0.14036	0.02537	-0.11611	-0.19251
-0.43840	-0.14036	0.02537	-0.11611	-0.19251
-0.36435	-0.12202	0.02122	-0.09601	-0.16344
-0.36435	-0.12189	0.02250	-0.09601	-0.16344
-0.34319	-0.11222	0.02290	-0.09018	-0.15504
-0.32203	-0.10794	0.02176	-0.08434	-0.14660
-0.29029	-0.10054	0.01972	-0.07553	-0.13387
-0.27972	-0.09673	0.01778	-0.07581	-0.12961
-0.23740	-0.08322	0.01701	-0.06077	-0.11249
-0.20566	-0.07357	0.01922	-0.05186	-0.09958
-0.20566	-0.06884	0.01441	-0.05186	-0.09593
-0.18450	-0.06520	0.01598	-0.04590	-0.09094
-0.17392	-0.05911	0.01421	-0.04292	-0.08661
-0.16334	-0.05686	0.01406	-0.03993	-0.08228
-0.15276	-0.05791	0.01348	-0.03939	-0.07794
-0.14219	-0.05373	0.01415	-0.03395	-0.07360
-0.12103	-0.04609	0.01341	-0.02795	-0.06604
-0.12103	-0.04689	0.01218	-0.02877	-0.06604
-0.12103	-0.04569	0.01408	-0.02795	-0.06604
-0.09987	-0.04120	0.01169	-0.02166	-0.05851
-0.08929	-0.03666	0.01401	-0.01893	-0.05474
-0.07871	-0.03309	0.01246	-0.01455	-0.05096
-0.05755	-0.02786	0.01206	-0.00741	-0.04340
-0.04697	-0.02137	0.01259	-0.00384	-0.03961
-0.03639	-0.02122	0.01255	-0.00027	-0.03582
0.01650	-0.00548	0.00966	0.01129	-0.01682
0.02708	-0.00033	0.01186	0.02123	-0.01301
0.03766	0.00460	0.01172	0.02482	-0.00982
0.05882	0.00870	0.01193	0.03201	-0.00455
0.11172	0.02580	0.01247	0.04999	0.00870
0.11172	0.02873	0.01112	0.04999	0.01574
0.11172	0.02173	0.00994	0.03864	0.00870
0.11172	0.02506	0.01333	0.04999	0.00870
0.11172	0.02491	0.01220	0.04999	0.00870
0.12230	0.03097	0.01322	0.05359	0.01136
0.13288	0.03339	0.01330	0.05719	0.01403
0.15403	0.03887	0.01309	0.06440	0.01936
0.16461	0.04305	0.01469	0.06800	0.02204
0.17519	0.04534	0.01303	0.07160	0.02471
0.22809	0.05645	0.01189	0.07909	0.03813
0.23867	0.07285	0.01300	0.09319	0.05355
0.23867	0.06373	0.01508	0.09319	0.04082
0.25983	0.07312	0.01510	0.10038	0.05984
0.25983	0.07137	0.01535	0.10038	0.04621
0.25983	0.07220	0.01270	0.09203	0.05984
0.29156	0.07867	0.01421	0.10492	0.05431
0.30214	0.08298	0.01836	0.11473	0.05701
0.32330	0.08835	0.01663	0.12190	0.06242
0.32330	0.09077	0.01744	0.12190	0.06242
0.34446	0.09774	0.02098	0.12905	0.06784
0.34446	0.09845	0.01997	0.12905	0.06784
0.35504	0.09795	0.01727	0.13263	0.07055
0.36562	0.10411	0.02237	0.13620	0.07326
0.37620	0.10317	0.01676	0.13893	0.07597
0.38678	0.11493	0.01913	0.14333	0.09370
0.38678	0.10978	0.01497	0.14314	0.09370
0.39736	0.11510	0.02033	0.14734	0.08139
0.41852	0.11809	0.02026	0.15572	0.08682
0.43967	0.12155	0.02099	0.16405	0.09225
0.47141	0.13920	0.02534	0.17646	0.10039
0.47141	0.13540	0.02287	0.17646	0.10039
0.50315	0.14885	0.02195	0.18876	0.12131
0.51373	0.14374	0.02213	0.19283	0.11124
0.51373	0.14158	0.02128	0.18576	0.11124
0.51373	0.15068	0.02665	0.19283	0.11124
0.52431	0.13999	0.01575	0.16382	0.11396
0.52431	0.14637	0.02194	0.18926	0.11396
0.54547	0.16148	0.02360	0.20497	0.13108
0.54547	0.14686	0.01631	0.17106	0.11938
0.56663	0.15662	0.02464	0.21300	0.12480
0.58778	0.16960	0.02733	0.22096	0.13021
0.59836	0.17209	0.02918	0.22493	0.13291
0.60894	0.17945	0.03037	0.22887	0.13562
0.65126	0.18427	0.02892	0.24449	0.14641
0.66184	0.19887	0.02774	0.24835	0.17629
0.67242	0.19492	0.02817	0.25220	0.15934
0.69358	0.20379	0.03055	0.25984	0.15718
0.72531	0.20868	0.03255	0.27116	0.16523
0.76763	0.22694	0.03895	0.28599	0.17592
0.76763	0.21383	0.02918	0.26798	0.17592
0.78879	0.22613	0.03490	0.29328	0.18125
0.83111	0.23753	0.03644	0.30762	0.19186
0.84169	0.24548	0.03526	0.31115	0.19450
0.85227	0.24166	0.04004	0.31466	0.19628
0.85227	0.24316	0.03720	0.31466	0.19628
0.87342	0.25412	0.03621	0.32161	0.20241
0.89458	0.25981	0.03683	0.32847	0.20766
0.89458	0.24735	0.03741	0.30720	0.20436
0.90516	0.25618	0.03575	0.33187	0.20635
0.93690	0.25519	0.04011	0.34191	0.21220
0.94748	0.26546	0.03345	0.32308	0.22071
0.94748	0.26725	0.04270	0.34521	0.21411
1.02153	0.28059	0.04283	0.36758	0.22706
1.07443	0.30422	0.04418	0.38276	0.23577
1.09559	0.29449	0.03758	0.36588	0.23913
1.09559	0.30306	0.04787	0.38863	0.23913
