feat_values_sorted	pred_f_3d_avg_sorted	pred_f_3d_sd_sorted	pred_f_3d_max_sorted	pred_f_3d_min_sorted
-2.01124	-0.01342	0.01864	0.00854	-0.04842
-1.98195	-0.01100	0.02394	0.01125	-0.06188
-1.87454	-0.01119	0.02337	0.02038	-0.05028
-1.83548	0.00329	0.01267	0.02338	-0.01532
-1.82572	-0.00684	0.02597	0.02410	-0.06180
-1.74760	-0.01345	0.01972	0.01504	-0.04830
-1.70855	-0.01038	0.01924	0.02245	-0.04195
-1.60114	0.00661	0.01993	0.03797	-0.02583
-1.59138	0.00080	0.02416	0.03846	-0.02479
-1.52303	0.00569	0.01656	0.02950	-0.01968
-1.44491	0.01024	0.01922	0.04462	-0.01432
-1.40586	0.01191	0.01701	0.04592	-0.00136
-1.35703	0.01508	0.01775	0.04735	0.00000
-1.34727	0.00647	0.01328	0.03398	-0.00829
-1.28868	0.01816	0.01898	0.04898	-0.00503
-1.26916	0.01841	0.01656	0.03857	0.00000
-1.25939	0.01658	0.01775	0.04955	-0.00350
-1.24963	0.01700	0.01732	0.04973	0.00000
-1.23010	0.01728	0.01767	0.05005	-0.00203
-1.20081	0.01573	0.01698	0.05047	-0.00062
-1.18128	0.02139	0.01842	0.05072	0.00000
-1.17151	0.01718	0.01483	0.04081	0.00000
-1.15199	0.01583	0.01497	0.04116	0.00000
-1.15199	0.02110	0.01881	0.05102	0.00000
-1.13246	0.01664	0.01793	0.05118	0.00000
-1.09340	0.02056	0.01770	0.05141	0.00000
-1.09340	0.02056	0.01770	0.05141	0.00000
-1.03481	0.01821	0.01956	0.05153	0.00000
-1.03481	0.01824	0.01539	0.04263	0.00000
-0.95670	0.02513	0.01681	0.05127	0.00000
-0.92741	0.01834	0.01855	0.05105	0.00000
-0.90788	0.02826	0.01585	0.05087	0.00000
-0.89812	0.02307	0.01849	0.05077	0.00000
-0.87859	0.02378	0.01635	0.05055	0.00000
-0.85906	0.02463	0.01695	0.05029	0.00000
-0.84929	0.02670	0.01877	0.05016	0.00000
-0.83953	0.02345	0.01707	0.05002	0.00000
-0.80047	0.02273	0.01773	0.04938	0.00000
-0.79071	0.02274	0.01656	0.04920	0.00000
-0.78094	0.01995	0.01721	0.04902	0.00000
-0.78094	0.02026	0.01758	0.04902	0.00000
-0.73212	0.02580	0.01676	0.04801	0.00000
-0.71259	0.02577	0.01666	0.04756	0.00000
-0.69307	0.03003	0.01421	0.04708	0.00569
-0.69307	0.02894	0.01467	0.04708	0.00000
-0.67354	0.02342	0.01759	0.04658	0.00000
-0.66377	0.02626	0.01546	0.04632	0.00000
-0.66377	0.02262	0.01658	0.04197	0.00000
-0.66377	0.01676	0.01584	0.04197	0.00000
-0.65401	0.02949	0.01303	0.04606	0.00576
-0.59542	0.02297	0.01703	0.04434	0.00000
-0.59542	0.02380	0.01784	0.04434	0.00000
-0.58566	0.02371	0.01777	0.04403	0.00000
-0.56613	0.02306	0.01520	0.04340	0.00000
-0.55637	0.01680	0.01438	0.03823	0.00000
-0.53684	0.01783	0.01364	0.03774	0.00000
-0.53684	0.02278	0.01570	0.04268	0.00000
-0.49778	0.02265	0.01531	0.04256	0.00000
-0.46849	0.02167	0.01583	0.04237	0.00000
-0.43920	0.02393	0.01438	0.04210	0.00000
-0.41967	0.01888	0.01520	0.04187	0.00000
-0.40014	0.02114	0.01216	0.03711	0.00000
-0.38061	0.02005	0.01467	0.04131	0.00000
-0.34155	0.01902	0.01499	0.04061	0.00000
-0.30250	0.02258	0.01261	0.03977	0.00000
-0.28297	0.01392	0.01123	0.02937	0.00000
-0.27320	0.01842	0.01332	0.03905	0.00000
-0.27320	0.01882	0.01269	0.03905	0.00000
-0.27320	0.02043	0.01313	0.03905	0.00000
-0.26344	0.01862	0.01255	0.03880	0.00000
-0.26344	0.02250	0.01148	0.03880	0.00000
-0.25368	0.01842	0.01242	0.03853	0.00000
-0.22438	0.01657	0.01203	0.03769	0.00000
-0.22438	0.01907	0.01254	0.03769	0.00000
