feat_values_sorted	pred_f_3d_avg_sorted	pred_f_3d_sd_sorted	pred_f_3d_max_sorted	pred_f_3d_min_sorted
-2.87669	-0.13411	0.06269	0.00000	-0.21545
-2.62434	-0.08896	0.04437	0.00000	-0.14536
-2.11964	-0.02890	0.01076	-0.01339	-0.04254
-1.99851	-0.01734	0.00956	0.00000	-0.03309
-1.93795	-0.01109	0.00642	0.00000	-0.01837
-1.80673	-0.00294	0.00469	0.00276	-0.01169
-1.78654	-0.00234	0.00389	0.00358	-0.00970
-1.70579	0.00323	0.00382	0.00935	-0.00223
-1.67551	0.00478	0.00399	0.01214	0.00038
-1.60485	0.00835	0.00438	0.01814	0.00436
-1.57457	0.00943	0.00513	0.02051	0.00000
-1.55438	0.00876	0.00418	0.01419	0.00000
-1.42316	0.01480	0.00939	0.03053	0.00000
-1.27175	0.01988	0.00939	0.03771	0.00000
-1.25156	0.02035	0.00960	0.03847	0.00000
-1.24146	0.02086	0.01112	0.03883	0.00000
-1.22128	0.02076	0.01142	0.03951	0.00000
-1.20109	0.02161	0.01114	0.04016	0.00000
-1.14052	0.02032	0.00884	0.03054	0.00000
-1.12034	0.02121	0.01141	0.04228	0.00000
-1.09005	0.02207	0.01341	0.04289	0.00000
-1.07996	0.02111	0.00925	0.03223	0.00000
-1.04968	0.02221	0.01189	0.04357	0.00000
-1.03958	0.02375	0.01118	0.04372	0.00000
-1.01940	0.02320	0.01166	0.04397	0.00000
-1.00930	0.02293	0.01142	0.04409	0.00000
-0.98911	0.02593	0.00857	0.04429	0.01513
-0.97902	0.02243	0.01203	0.04437	0.00000
-0.96892	0.02276	0.01217	0.04444	0.00000
-0.94874	0.02760	0.00920	0.04456	0.01521
-0.93864	0.02992	0.00772	0.04461	0.01801
-0.91845	0.02452	0.01158	0.04467	0.00000
-0.90836	0.02433	0.01220	0.04469	0.00000
-0.89827	0.02681	0.00909	0.04470	0.01524
-0.88817	0.02560	0.01341	0.04470	0.00000
-0.86798	0.02565	0.01182	0.04467	0.00000
-0.80742	0.02427	0.01189	0.04437	0.00000
-0.80742	0.02119	0.01119	0.03614	0.00000
-0.73676	0.02505	0.01189	0.04362	0.00000
-0.73676	0.02300	0.01033	0.03625	0.00000
-0.71657	0.02370	0.01205	0.04334	0.00000
-0.70648	0.02191	0.01004	0.03619	0.00000
-0.69639	0.02789	0.00834	0.04302	0.01451
-0.68629	0.02177	0.01001	0.03611	0.00000
-0.66610	0.02303	0.01176	0.04248	0.00000
-0.63582	0.02136	0.00990	0.03581	0.00000
-0.61563	0.02351	0.01236	0.04143	0.00000
-0.55507	0.02407	0.01148	0.03993	0.00000
-0.54498	0.02121	0.01107	0.03966	0.00000
-0.53488	0.02337	0.00782	0.03938	0.01309
-0.51469	0.02150	0.01111	0.03880	0.00000
-0.47432	0.02251	0.01167	0.03755	0.00000
-0.44404	0.02154	0.01034	0.03655	0.00000
-0.43394	0.01835	0.00995	0.03620	0.00000
-0.42385	0.01795	0.00932	0.03283	0.00000
-0.40366	0.01828	0.00886	0.03242	0.00000
-0.38347	0.02052	0.01126	0.03438	0.00000
-0.36328	0.02211	0.00809	0.03361	0.01088
-0.36328	0.01812	0.01188	0.03361	0.00000
-0.34310	0.01701	0.00928	0.03281	0.00000
-0.33300	0.02212	0.00705	0.03241	0.01128
-0.32291	0.01716	0.00911	0.03200	0.00000
-0.32291	0.01832	0.00913	0.03200	0.00000
-0.30272	0.01787	0.00894	0.03116	0.00000
-0.27244	0.01882	0.00721	0.02986	0.00948
-0.26234	0.01495	0.00894	0.02942	0.00000
-0.23206	0.01912	0.00618	0.02806	0.00881
-0.19169	0.01475	0.00813	0.02683	0.00000
-0.18159	0.01571	0.00783	0.02652	0.00000
-0.17150	0.02024	0.00468	0.02619	0.01503
-0.17150	0.01367	0.00410	0.01911	0.00775
-0.17150	0.01498	0.00807	0.02619	0.00000
-0.15131	0.01562	0.00639	0.02554	0.00739
-0.13112	0.01355	0.00759	0.02487	0.00000
-0.12103	0.01116	0.00681	0.02272	0.00000
-0.12103	0.01234	0.00672	0.02453	0.00000
-0.09075	0.01231	0.00709	0.02348	0.00000
-0.08065	0.01248	0.00692	0.02312	0.00000
-0.06046	0.01170	0.00643	0.02239	0.00000
-0.05037	0.01157	0.00655	0.02203	0.00000
-0.00999	0.01045	0.00432	0.01689	0.00469
0.00010	0.00880	0.00518	0.01634	0.00000
0.01019	0.01135	0.00583	0.01974	0.00000
0.02029	0.00769	0.00570	0.01935	0.00000
0.04048	0.00998	0.00487	0.01855	0.00356
0.05057	0.00939	0.00485	0.01815	0.00334
0.05057	0.00793	0.00520	0.01815	0.00000
0.06067	0.00856	0.00488	0.01775	0.00311
0.06067	0.00805	0.00533	0.01775	0.00000
0.08085	0.00802	0.00513	0.01692	0.00000
0.12123	0.00626	0.00441	0.01525	0.00000
0.12123	0.00626	0.00441	0.01525	0.00000
0.16161	0.00546	0.00420	0.01353	0.00000
0.17170	0.00472	0.00436	0.01309	0.00000
0.18179	0.00473	0.00382	0.01265	0.00000
0.19189	0.00454	0.00388	0.01221	0.00013
0.20198	0.00415	0.00406	0.01177	0.00000
0.21208	0.00342	0.00374	0.01132	-0.00034
0.24236	0.00235	0.00351	0.00997	-0.00103
0.24236	0.00269	0.00336	0.00997	-0.00103
0.26255	0.00206	0.00320	0.00905	-0.00114
0.29283	0.00101	0.00327	0.00767	-0.00233
0.29283	0.00088	0.00320	0.00767	-0.00233
0.31302	-0.00054	0.00222	0.00432	-0.00313
0.32311	-0.00087	0.00295	0.00626	-0.00353
0.33320	-0.00064	0.00300	0.00579	-0.00393
0.34330	-0.00124	0.00293	0.00532	-0.00398
0.37358	-0.00298	0.00242	0.00209	-0.00587
0.37358	-0.00199	0.00326	0.00389	-0.00587
0.38367	-0.00260	0.00305	0.00341	-0.00651
0.39377	-0.00267	0.00312	0.00293	-0.00714
0.39377	-0.00330	0.00264	0.00133	-0.00714
0.39377	-0.00255	0.00327	0.00293	-0.00714
0.41396	-0.00329	0.00307	0.00196	-0.00710
0.43414	-0.00325	0.00410	0.00099	-0.00968
0.44424	-0.00411	0.00351	0.00050	-0.01031
0.45433	-0.00428	0.00343	0.00001	-0.01095
0.46443	-0.00506	0.00360	0.00000	-0.01159
0.46443	-0.00462	0.00352	0.00000	-0.01159
0.50480	-0.00646	0.00420	0.00000	-0.01414
0.54518	-0.00750	0.00481	0.00000	-0.01669
0.54518	-0.00726	0.00468	0.00000	-0.01669
0.54518	-0.00685	0.00447	0.00000	-0.01669
0.54518	-0.00752	0.00281	-0.00443	-0.01217
0.55527	-0.00912	0.00387	-0.00493	-0.01733
0.55527	-0.00804	0.00479	0.00000	-0.01733
0.56537	-0.00840	0.00522	0.00000	-0.01796
0.61584	-0.01094	0.00479	-0.00742	-0.02114
0.63602	-0.01021	0.00661	0.00000	-0.02241
0.66631	-0.01049	0.00485	0.00000	-0.01664
0.66631	-0.01186	0.00803	0.00000	-0.02430
0.67640	-0.01392	0.00540	-0.00921	-0.02493
0.68649	-0.01319	0.00686	0.00000	-0.02556
0.70668	-0.01320	0.00657	0.00000	-0.02681
0.72687	-0.01267	0.00587	0.00000	-0.01877
0.73696	-0.01281	0.00562	0.00000	-0.01912
0.73696	-0.01371	0.00722	0.00000	-0.02868
0.74706	-0.01541	0.00833	0.00000	-0.02930
0.74706	-0.01475	0.00331	-0.01104	-0.01947
0.75715	-0.01522	0.00859	0.00000	-0.02992
0.75715	-0.01318	0.00557	0.00000	-0.01981
0.76725	-0.01468	0.00768	0.00000	-0.03054
0.78743	-0.01627	0.00803	0.00000	-0.03176
0.82781	-0.01703	0.00904	0.00000	-0.03420
0.86819	-0.01841	0.00965	0.00000	-0.03660
0.88837	-0.01852	0.01151	0.00000	-0.03779
0.89847	-0.02215	0.00748	-0.01434	-0.03838
0.90856	-0.01364	0.00786	0.00000	-0.02461
0.92875	-0.01992	0.01028	0.00000	-0.04013
0.95903	-0.02181	0.01059	0.00000	-0.04186
1.00950	-0.02185	0.01212	0.00000	-0.04469
1.02969	-0.02069	0.00883	0.00000	-0.02838
1.04988	-0.02459	0.01190	0.00000	-0.04689
1.11044	-0.02493	0.01301	0.00000	-0.05008
1.29214	-0.03033	0.01610	0.00000	-0.05875
1.29214	-0.02998	0.01635	0.00000	-0.05875
1.32242	-0.02816	0.01373	0.00000	-0.04113
1.32242	-0.02885	0.01407	0.00000	-0.04113
1.32242	-0.03158	0.01654	0.00000	-0.06005
1.36279	-0.02397	0.01414	0.00000	-0.04273
1.36279	-0.03079	0.01702	0.00000	-0.06170
1.36279	-0.03701	0.01291	-0.01867	-0.06170
1.36279	-0.03407	0.01752	0.00000	-0.06170
1.38298	-0.02608	0.01485	0.00000	-0.04351
1.38298	-0.03533	0.01360	-0.01870	-0.06249
1.38298	-0.02793	0.01396	0.00000	-0.04351
1.39308	-0.03480	0.01792	0.00000	-0.06288
1.45364	-0.02439	0.01451	0.00000	-0.04613
1.48392	-0.03612	0.01571	-0.01864	-0.06610
1.61514	-0.03182	0.01659	0.00000	-0.05141
1.62524	-0.02532	0.00727	-0.01787	-0.03693
1.64543	-0.03034	0.01561	0.00000	-0.05024
1.76655	-0.03657	0.02301	0.00000	-0.07261
1.78674	-0.03658	0.02192	0.00000	-0.07285
1.81702	-0.02850	0.02106	0.00000	-0.07314
1.87759	-0.03460	0.02055	0.00000	-0.05840
1.96843	-0.03378	0.01999	0.00000	-0.06126
2.12994	-0.03365	0.02596	0.00000	-0.07131
2.24097	-0.03136	0.02596	0.00000	-0.06845
2.47314	-0.01461	0.02474	0.00852	-0.05754
