feat_values_sorted	pred_f_3d_avg_sorted	pred_f_3d_sd_sorted	pred_f_3d_max_sorted	pred_f_3d_min_sorted
-2.65412	-0.52844	0.09951	-0.36868	-0.68162
-2.47071	-0.55712	0.04609	-0.49669	-0.61660
-2.17266	-0.41572	0.07069	-0.29547	-0.52164
-1.94339	-0.35110	0.07374	-0.24482	-0.45648
-1.92047	-0.32619	0.08023	-0.18812	-0.45030
-1.89754	-0.27869	0.05726	-0.18813	-0.35732
-1.87461	-0.33628	0.07227	-0.18810	-0.43811
-1.72559	-0.27956	0.04945	-0.20402	-0.34820
-1.66827	-0.28469	0.06318	-0.18604	-0.38589
-1.58803	-0.25496	0.06146	-0.18151	-0.36665
-1.56510	-0.26986	0.05277	-0.18378	-0.36125
-1.55364	-0.24765	0.04821	-0.17624	-0.30755
-1.49632	-0.24560	0.04325	-0.16776	-0.29487
-1.48486	-0.24731	0.05315	-0.16611	-0.34269
-1.47339	-0.24544	0.05260	-0.16447	-0.34008
-1.32437	-0.23213	0.04211	-0.17531	-0.30699
-1.27851	-0.20249	0.03721	-0.13869	-0.25012
-1.22120	-0.20813	0.04742	-0.13179	-0.28491
-1.18681	-0.19856	0.04174	-0.12779	-0.27768
-1.16388	-0.19229	0.03657	-0.12517	-0.22844
-1.11803	-0.20330	0.03012	-0.16450	-0.26341
-1.09510	-0.17194	0.02963	-0.11758	-0.20853
-1.02632	-0.17503	0.03516	-0.11033	-0.24472
-1.01486	-0.18374	0.02707	-0.15335	-0.24241
-0.99193	-0.15374	0.02458	-0.10683	-0.18908
-0.94608	-0.16538	0.01499	-0.14634	-0.18420
-0.94608	-0.16980	0.03465	-0.10228	-0.22864
-0.94608	-0.17553	0.02562	-0.14634	-0.22864
-0.93461	-0.15447	0.02412	-0.10116	-0.18235
-0.88876	-0.14618	0.02385	-0.09677	-0.18031
-0.87730	-0.16388	0.02243	-0.13932	-0.21503
-0.84290	-0.14611	0.02263	-0.09250	-0.17269
-0.84290	-0.15195	0.03144	-0.09250	-0.20828
-0.83144	-0.15043	0.03105	-0.09145	-0.20604
-0.81998	-0.15092	0.02871	-0.09040	-0.20379
-0.79705	-0.14657	0.02844	-0.08833	-0.19932
-0.79705	-0.14761	0.02971	-0.08833	-0.19932
-0.78559	-0.14581	0.02780	-0.08731	-0.19709
-0.75120	-0.13861	0.02853	-0.08426	-0.19041
-0.73973	-0.13623	0.02597	-0.08326	-0.18819
-0.73973	-0.12791	0.02276	-0.08326	-0.15584
-0.72827	-0.13569	0.02702	-0.08226	-0.18597
-0.72827	-0.13676	0.02794	-0.08226	-0.18597
-0.71681	-0.13531	0.02916	-0.08127	-0.18375
-0.71681	-0.13368	0.02563	-0.08127	-0.18375
-0.71681	-0.13204	0.02662	-0.08127	-0.18375
-0.68242	-0.13610	0.01803	-0.11920	-0.17711
-0.68242	-0.12337	0.02021	-0.07833	-0.14660
-0.67095	-0.13513	0.01764	-0.11800	-0.17490
-0.59071	-0.11632	0.02176	-0.07068	-0.15946
-0.57925	-0.11530	0.02322	-0.06975	-0.15726
-0.52193	-0.11448	0.01389	-0.10212	-0.14626
-0.51047	-0.10692	0.01911	-0.06419	-0.14406
-0.45315	-0.09466	0.01511	-0.05965	-0.11005
-0.43022	-0.09588	0.01718	-0.05784	-0.12866
-0.43022	-0.09405	0.01876	-0.05784	-0.12866
-0.43022	-0.09355	0.00594	-0.08385	-0.10176
-0.37290	-0.08468	0.02161	-0.05336	-0.11764
-0.36144	-0.08633	0.01567	-0.05247	-0.11543
-0.31559	-0.07843	0.01725	-0.04892	-0.10657
-0.30412	-0.07806	0.01620	-0.04803	-0.10435
-0.29266	-0.07724	0.01648	-0.04714	-0.10213
-0.29266	-0.07644	0.01508	-0.04714	-0.10213
-0.26973	-0.07460	0.01549	-0.04537	-0.09769
-0.26973	-0.06698	0.01468	-0.04537	-0.08539
-0.24681	-0.06942	0.01405	-0.04359	-0.09323
-0.24681	-0.06907	0.01576	-0.04359	-0.09323
-0.24681	-0.06744	0.01244	-0.04359	-0.08248
-0.24681	-0.06754	0.01389	-0.04359	-0.09323
-0.23534	-0.06468	0.01266	-0.04271	-0.08101
-0.22388	-0.06688	0.01314	-0.04182	-0.08876
-0.21242	-0.06348	0.01493	-0.04093	-0.08652
-0.18949	-0.06473	0.01127	-0.04730	-0.08203
-0.18949	-0.05687	0.01094	-0.03915	-0.07246
-0.15510	-0.05692	0.01221	-0.03648	-0.07527
-0.15510	-0.05650	0.01077	-0.03648	-0.07041
-0.14364	-0.05532	0.01201	-0.03558	-0.07301
-0.12071	-0.05366	0.01138	-0.03654	-0.06848
-0.12071	-0.05332	0.01161	-0.03379	-0.06848
-0.09778	-0.04800	0.01218	-0.03199	-0.06394
-0.09778	-0.05031	0.01082	-0.03292	-0.06394
-0.08632	-0.04606	0.01149	-0.03108	-0.06166
-0.08632	-0.04697	0.01054	-0.03110	-0.06166
-0.08632	-0.04678	0.01156	-0.03108	-0.06166
-0.08632	-0.04581	0.01274	-0.03108	-0.06166
-0.08632	-0.04627	0.01208	-0.03108	-0.06166
-0.07486	-0.04545	0.01204	-0.02928	-0.05937
-0.06339	-0.04725	0.01027	-0.02928	-0.05776
-0.04047	-0.04216	0.01126	-0.02377	-0.05495
-0.02900	-0.03945	0.01115	-0.02193	-0.05353
-0.00608	-0.03517	0.01232	-0.01822	-0.05065
-0.00608	-0.03291	0.01097	-0.01822	-0.04940
-0.00608	-0.03467	0.01122	-0.01822	-0.05065
0.01685	-0.02931	0.01029	-0.01448	-0.04602
0.02831	-0.02735	0.01169	-0.01261	-0.04624
0.02831	-0.02735	0.01169	-0.01261	-0.04624
0.05124	-0.02263	0.01013	-0.00884	-0.04086
0.07417	-0.02257	0.00991	-0.00505	-0.03737
0.07417	-0.02404	0.01053	-0.00505	-0.04018
0.08563	-0.02132	0.01038	-0.00397	-0.03863
0.08563	-0.01971	0.01183	-0.00314	-0.03863
0.10856	-0.01726	0.01211	0.00069	-0.03549
0.12002	-0.01589	0.01064	0.00199	-0.03390
0.13149	-0.01160	0.01088	0.00455	-0.02847
0.17734	-0.00526	0.01283	0.01234	-0.02573
0.18880	-0.00473	0.01271	0.01431	-0.02404
0.20027	-0.00607	0.01303	0.01629	-0.02235
0.20027	0.00331	0.01080	0.01629	-0.01745
0.23466	0.00526	0.01196	0.02227	-0.01180
0.23466	0.00346	0.01175	0.02227	-0.01716
0.24612	0.00423	0.01357	0.02426	-0.01540
0.24612	0.00775	0.01240	0.02434	-0.00990
0.28051	0.01397	0.01233	0.03057	-0.00413
0.28051	0.01027	0.01507	0.03057	-0.01001
0.32636	0.02001	0.01476	0.03899	-0.00257
0.33783	0.02182	0.01277	0.04059	0.00502
0.34929	0.02351	0.01500	0.04325	0.00125
0.36075	0.02349	0.01627	0.04539	0.00319
0.36075	0.02554	0.01522	0.04539	0.00319
0.38368	0.03202	0.01408	0.04969	0.00713
0.38368	0.02821	0.01593	0.04969	0.00713
0.40661	0.03150	0.01549	0.05318	0.01115
0.45246	0.03474	0.01525	0.05631	0.01619
0.46392	0.04926	0.01725	0.06503	0.01735
0.47539	0.04985	0.01719	0.06725	0.01852
0.50978	0.05051	0.01982	0.07399	0.02208
0.50978	0.04602	0.01817	0.07399	0.02208
0.52124	0.04834	0.01873	0.07625	0.02329
0.54417	0.05711	0.01900	0.07937	0.02573
0.54417	0.06140	0.01950	0.08081	0.02573
0.54417	0.06323	0.01663	0.08081	0.03697
0.60149	0.07098	0.02079	0.09238	0.03200
0.61295	0.06836	0.02122	0.09472	0.03328
0.62441	0.07740	0.02161	0.09707	0.03458
0.63588	0.07720	0.02251	0.09944	0.03588
0.63588	0.07519	0.02161	0.09763	0.03588
0.65880	0.08229	0.02237	0.10420	0.03853
0.67027	0.08464	0.02268	0.10660	0.03986
0.71612	0.09890	0.01808	0.11631	0.07354
0.81929	0.11165	0.02784	0.13883	0.05832
0.85368	0.12429	0.02804	0.15284	0.06288
0.85368	0.12095	0.03061	0.15284	0.06288
0.89953	0.13752	0.02987	0.16579	0.06914
0.94539	0.14292	0.03153	0.17912	0.07563
1.02563	0.16525	0.03550	0.20340	0.08754
1.02563	0.16300	0.03425	0.19830	0.08754
1.02563	0.13110	0.02589	0.15510	0.08754
1.03710	0.16559	0.03748	0.20696	0.08930
1.07149	0.17425	0.03643	0.21782	0.09468
1.09441	0.18738	0.04007	0.22519	0.09834
1.10588	0.19003	0.02490	0.22892	0.15663
1.10588	0.18311	0.03779	0.22892	0.10020
1.11734	0.18905	0.03894	0.23267	0.10207
1.11734	0.18695	0.04082	0.23267	0.10207
1.14027	0.20436	0.02493	0.24026	0.16485
1.18612	0.20385	0.04736	0.25576	0.11365
1.20905	0.20732	0.04178	0.25259	0.11765
1.23197	0.21404	0.04376	0.27171	0.12172
1.24344	0.22447	0.04819	0.27577	0.12378
1.26636	0.22902	0.04286	0.28398	0.12795
1.27783	0.22332	0.04403	0.28813	0.13007
1.30075	0.23723	0.04982	0.29652	0.13435
1.32368	0.24445	0.04765	0.30502	0.13871
1.38100	0.26263	0.05520	0.32682	0.14994
1.40392	0.27447	0.05312	0.33576	0.15456
1.40392	0.26944	0.04896	0.33576	0.15456
1.44978	0.28776	0.05229	0.35402	0.16405
1.61027	0.32489	0.06490	0.38776	0.19989
1.65612	0.34665	0.06822	0.44281	0.21092
1.65612	0.36862	0.04549	0.44281	0.30300
1.66758	0.34934	0.03297	0.40112	0.30619
1.78222	0.39600	0.07373	0.50273	0.24313
1.81661	0.40902	0.07617	0.51986	0.25242
1.86246	0.43190	0.03927	0.48604	0.36196
2.02295	0.47752	0.07885	0.59309	0.31295
2.09173	0.52574	0.10421	0.66981	0.33503
2.14905	0.54042	0.08844	0.67236	0.35420
2.43563	0.68720	0.13471	0.89246	0.46112
2.56173	0.77639	0.14669	0.98482	0.51437
2.58466	0.70731	0.09775	0.83694	0.52448
