feat_values_sorted	pred_f_3d_avg_sorted	pred_f_3d_sd_sorted	pred_f_3d_max_sorted	pred_f_3d_min_sorted
-2.82894	-0.02209	0.01359	-0.00082	-0.04534
-2.63675	-0.00224	0.03236	0.06169	-0.03987
-2.06018	-0.02140	0.01746	0.01683	-0.04778
-1.91857	-0.01338	0.01894	0.01011	-0.04526
-1.89834	-0.01981	0.02046	0.00948	-0.04826
-1.86799	-0.02683	0.01310	-0.01352	-0.04827
-1.84776	-0.01868	0.01837	0.00795	-0.04826
-1.75672	-0.02095	0.01746	0.00537	-0.04971
-1.60499	-0.01922	0.01543	0.00152	-0.05323
-1.59488	-0.02006	0.01620	0.00128	-0.05344
-1.48361	-0.02266	0.01659	-0.00116	-0.05554
-1.46338	-0.02004	0.01742	-0.00157	-0.05588
-1.46338	-0.02509	0.01578	-0.00784	-0.05588
-1.43303	-0.02285	0.01649	-0.00217	-0.05636
-1.42292	-0.02733	0.01707	-0.00883	-0.05651
-1.40269	-0.02545	0.01674	-0.00930	-0.05681
-1.39257	-0.02297	0.01642	-0.00294	-0.05695
-1.38246	-0.02686	0.01602	-0.00975	-0.05709
-1.37234	-0.02521	0.01581	-0.00997	-0.05723
-1.33188	-0.02797	0.01734	-0.00401	-0.05773
-1.32177	-0.02173	0.01669	-0.01098	-0.05784
-1.32177	-0.02301	0.01857	-0.00418	-0.05784
-1.30153	-0.01872	0.01257	-0.00452	-0.04410
-1.26107	-0.02456	0.01799	-0.00516	-0.05846
-1.26107	-0.02459	0.01753	-0.00516	-0.05846
-1.19027	-0.02567	0.01828	-0.00620	-0.05899
-1.17004	-0.02200	0.01643	-0.00647	-0.05910
-1.10934	-0.02225	0.01607	-0.00724	-0.05935
-1.09923	-0.02407	0.01638	-0.00736	-0.05937
-1.09923	-0.02482	0.01574	-0.01048	-0.05937
-1.08911	-0.02306	0.01580	-0.00748	-0.05939
-1.00819	-0.01960	0.01052	-0.00835	-0.03892
-1.00819	-0.02829	0.01739	-0.01006	-0.05940
-0.99808	-0.02170	0.01602	-0.00845	-0.05938
-0.92727	-0.02171	0.01683	-0.00908	-0.05911
-0.88681	-0.02177	0.01658	-0.00953	-0.05885
-0.86658	-0.02505	0.01550	-0.00954	-0.05869
-0.85646	-0.02504	0.01655	-0.00939	-0.05860
-0.84635	-0.02327	0.01526	-0.00935	-0.05851
-0.83623	-0.02621	0.01598	-0.00931	-0.05841
-0.82612	-0.02314	0.01516	-0.00926	-0.05831
-0.82612	-0.02222	0.01585	-0.00926	-0.05831
-0.77554	-0.02150	0.01464	-0.00904	-0.05772
-0.76542	-0.02308	0.01588	-0.00900	-0.05759
-0.74519	-0.02205	0.01506	-0.00891	-0.05730
-0.72496	-0.02223	0.01471	-0.00882	-0.05700
-0.68450	-0.02151	0.01470	-0.00864	-0.05633
-0.66427	-0.01843	0.00913	-0.00854	-0.03048
-0.65416	-0.01649	0.00790	-0.00850	-0.03019
-0.65416	-0.02235	0.01496	-0.00850	-0.05577
-0.64404	-0.02120	0.01507	-0.00845	-0.05557
-0.63393	-0.02245	0.01461	-0.00840	-0.05537
-0.57323	-0.01440	0.00667	-0.00812	-0.02785
-0.57323	-0.01863	0.01385	-0.00812	-0.05403
-0.51254	-0.01972	0.01338	-0.00782	-0.05249
-0.51254	-0.01382	0.00624	-0.00782	-0.02601
-0.49231	-0.01856	0.01282	-0.00771	-0.05193
-0.49231	-0.02207	0.01449	-0.00863	-0.05193
-0.48220	-0.01620	0.00678	-0.00857	-0.02506
-0.46197	-0.01870	0.01336	-0.00845	-0.05105
-0.45185	-0.01877	0.01295	-0.00750	-0.05074
-0.44173	-0.02008	0.01294	-0.00833	-0.05043
-0.40127	-0.01669	0.01256	-0.00723	-0.04912
-0.39116	-0.01766	0.01250	-0.00717	-0.04877
-0.37093	-0.01776	0.01206	-0.00705	-0.04807
-0.37093	-0.01632	0.01230	-0.00705	-0.04807
-0.34058	-0.01348	0.00618	-0.00688	-0.02123
-0.33047	-0.01801	0.01264	-0.00682	-0.04659
-0.32035	-0.01603	0.01128	-0.00676	-0.04620
-0.31024	-0.01483	0.01228	-0.00669	-0.04581
-0.31024	-0.01223	0.00472	-0.00748	-0.01951
-0.29001	-0.01280	0.00521	-0.00657	-0.01996
-0.29001	-0.01621	0.01136	-0.00657	-0.04500
-0.27989	-0.01701	0.01152	-0.00727	-0.04459
-0.25966	-0.01158	0.00486	-0.00638	-0.01917
-0.22931	-0.01473	0.01142	-0.00618	-0.04243
-0.19897	-0.01010	0.00427	-0.00597	-0.01762
-0.18885	-0.01449	0.01228	-0.00590	-0.04059
-0.17874	-0.01517	0.01024	-0.00651	-0.04011
-0.12816	-0.01485	0.01003	-0.00609	-0.03762
-0.11805	-0.01232	0.00998	-0.00539	-0.03711
-0.11805	-0.01230	0.00903	-0.00539	-0.03711
-0.08770	-0.01211	0.00901	-0.00515	-0.03551
-0.05735	-0.01197	0.00932	-0.00491	-0.03386
-0.03712	-0.01240	0.00956	-0.00537	-0.03272
-0.03712	-0.00900	0.00315	-0.00537	-0.01428
-0.02701	-0.01171	0.00825	-0.00526	-0.03214
-0.02701	-0.00864	0.00327	-0.00466	-0.01405
0.00334	-0.00961	0.00876	-0.00440	-0.03036
0.03368	-0.00862	0.00775	-0.00413	-0.02851
0.03368	-0.00895	0.00704	-0.00413	-0.02851
0.05391	-0.00647	0.00285	-0.00394	-0.01208
0.06403	-0.00866	0.00684	-0.00385	-0.02660
0.09438	-0.00793	0.00680	-0.00356	-0.02462
0.16518	-0.00553	0.00581	-0.00113	-0.01975
0.17530	-0.00529	0.00546	-0.00071	-0.01903
0.18541	-0.00382	0.00246	-0.00028	-0.00847
0.19553	-0.00516	0.00496	0.00015	-0.01755
0.20564	-0.00275	0.00192	0.00058	-0.00614
0.21576	-0.00459	0.00468	0.00101	-0.01605
0.21576	-0.00478	0.00495	0.00101	-0.01605
0.22587	-0.00338	0.00469	0.00144	-0.01529
0.23599	-0.00278	0.00270	0.00188	-0.00694
0.23599	-0.00511	0.00430	-0.00118	-0.01451
0.25622	-0.00294	0.00434	0.00275	-0.01295
0.25622	-0.00208	0.00250	0.00275	-0.00631
0.25622	-0.00316	0.00403	0.00275	-0.01295
0.26634	-0.00232	0.00167	-0.00092	-0.00599
0.27645	-0.00406	0.00343	-0.00142	-0.01135
0.28657	-0.00430	0.00405	-0.00006	-0.01054
0.29668	-0.00294	0.00346	0.00016	-0.00973
0.30680	-0.00198	0.00389	0.00496	-0.00890
0.33714	-0.00079	0.00332	0.00630	-0.00638
0.34726	-0.00035	0.00371	0.00675	-0.00552
0.36749	0.00011	0.00359	0.00765	-0.00397
0.36749	0.00001	0.00358	0.00765	-0.00397
0.37760	0.00030	0.00356	0.00811	-0.00382
0.38772	0.00085	0.00340	0.00856	-0.00367
