feat_values_sorted	pred_f_3d_avg_sorted	pred_f_3d_sd_sorted	pred_f_3d_max_sorted	pred_f_3d_min_sorted
-3.23018	-0.20260	0.04447	-0.15223	-0.27163
-2.05364	-0.14169	0.04256	-0.08231	-0.20258
-2.02185	-0.15478	0.04163	-0.08297	-0.20112
-1.90525	-0.14521	0.03948	-0.08464	-0.19505
-1.79926	-0.13832	0.03994	-0.08518	-0.18860
-1.78866	-0.15233	0.03103	-0.09616	-0.18791
-1.72506	-0.13120	0.03326	-0.08503	-0.17071
-1.69326	-0.13980	0.03207	-0.09126	-0.18131
-1.65086	-0.13141	0.03682	-0.08904	-0.17817
-1.60847	-0.12930	0.03317	-0.08398	-0.17490
-1.55547	-0.11987	0.03081	-0.08318	-0.15583
-1.51307	-0.12153	0.03097	-0.08173	-0.16714
-1.49187	-0.12356	0.03010	-0.08059	-0.16533
-1.42828	-0.11901	0.02833	-0.07713	-0.15976
-1.34348	-0.10726	0.02872	-0.07248	-0.15197
-1.32228	-0.10283	0.02286	-0.07751	-0.13351
-1.32228	-0.10564	0.02828	-0.07131	-0.14996
-1.25868	-0.09534	0.02362	-0.06777	-0.12710
-1.23749	-0.10180	0.02472	-0.07235	-0.14169
-1.22689	-0.10494	0.02384	-0.07159	-0.14063
-1.22689	-0.10033	0.02548	-0.06600	-0.14063
-1.21629	-0.09841	0.02495	-0.06540	-0.13957
-1.21629	-0.09633	0.02207	-0.06540	-0.12276
-1.20569	-0.09889	0.02705	-0.06481	-0.13850
-1.16329	-0.09315	0.02500	-0.06242	-0.13416
-1.15269	-0.09049	0.02459	-0.06182	-0.13306
-1.07849	-0.08743	0.02274	-0.05761	-0.12525
-1.07849	-0.08556	0.01866	-0.06089	-0.10463
-1.06789	-0.09099	0.02191	-0.05701	-0.12411
-1.05730	-0.08100	0.01772	-0.05641	-0.10606
-1.05730	-0.08545	0.02277	-0.05641	-0.12297
-1.03610	-0.07924	0.01821	-0.05520	-0.10379
-1.00430	-0.08370	0.01953	-0.05551	-0.11720
-0.99370	-0.08147	0.02083	-0.05277	-0.11604
-0.98310	-0.07665	0.02190	-0.05216	-0.11487
-0.97250	-0.07957	0.02043	-0.05156	-0.11369
-0.95130	-0.07675	0.02052	-0.05034	-0.11133
-0.95130	-0.07611	0.01956	-0.05034	-0.11133
-0.91950	-0.07336	0.01892	-0.04851	-0.10775
-0.89830	-0.07926	0.01608	-0.05561	-0.10535
-0.86651	-0.06587	0.01452	-0.04549	-0.08529
-0.84531	-0.07259	0.01472	-0.05261	-0.09927
-0.83471	-0.06848	0.01726	-0.04362	-0.09805
-0.79231	-0.06508	0.01581	-0.04116	-0.09311
-0.77111	-0.05635	0.01366	-0.03857	-0.07467
-0.74991	-0.06204	0.01499	-0.03870	-0.08812
-0.73931	-0.05445	0.01055	-0.03809	-0.06936
-0.67571	-0.05284	0.01542	-0.03169	-0.07928
-0.65452	-0.04724	0.01526	-0.03017	-0.07673
-0.64392	-0.05140	0.01390	-0.02942	-0.07545
-0.63332	-0.05007	0.01425	-0.03192	-0.07416
-0.61212	-0.04758	0.01228	-0.03069	-0.07159
-0.60152	-0.04525	0.01264	-0.02639	-0.07030
-0.60152	-0.04599	0.01263	-0.02639	-0.07030
-0.59092	-0.04191	0.01284	-0.02564	-0.06901
-0.59092	-0.04211	0.01388	-0.02564	-0.06901
-0.55912	-0.04363	0.01341	-0.02338	-0.06512
-0.52732	-0.04195	0.00993	-0.02575	-0.06122
-0.51672	-0.03957	0.00999	-0.02514	-0.05991
-0.49552	-0.03598	0.01115	-0.01890	-0.05729
-0.46373	-0.03511	0.00954	-0.02205	-0.05335
-0.46373	-0.03212	0.01043	-0.01668	-0.05335
-0.44253	-0.03424	0.00810	-0.02108	-0.05072
-0.43193	-0.02948	0.01051	-0.01447	-0.04940
-0.41073	-0.02825	0.00978	-0.01301	-0.04676
-0.41073	-0.02750	0.00958	-0.01301	-0.04676
-0.40013	-0.02660	0.00999	-0.01228	-0.04543
-0.35773	-0.02076	0.00676	-0.00937	-0.02816
-0.35773	-0.02069	0.00669	-0.00937	-0.02779
-0.34713	-0.02128	0.00675	-0.00865	-0.02701
-0.34713	-0.02243	0.00833	-0.00865	-0.03880
-0.34713	-0.02243	0.00833	-0.00865	-0.03880
-0.34713	-0.02269	0.00874	-0.00865	-0.03880
-0.33653	-0.01971	0.00654	-0.00793	-0.02587
-0.33653	-0.02230	0.00802	-0.01097	-0.03747
-0.32593	-0.02300	0.00790	-0.00996	-0.03614
-0.27294	-0.01776	0.00684	-0.00365	-0.02947
-0.25174	-0.01423	0.00747	-0.00224	-0.02680
-0.23054	-0.01308	0.00658	-0.00084	-0.02413
-0.21994	-0.00966	0.00763	-0.00004	-0.02279
-0.19874	-0.00914	0.00705	0.00192	-0.02011
-0.18814	-0.00847	0.00633	0.00290	-0.01877
-0.16694	-0.00514	0.00730	0.00485	-0.01610
-0.14574	-0.00481	0.00703	0.00678	-0.01342
