feat_values_sorted	pred_f_3d_avg_sorted	pred_f_3d_sd_sorted	pred_f_3d_max_sorted	pred_f_3d_min_sorted
-3.10335	-0.82882	0.09267	-0.68539	-0.96454
-2.38512	-0.55528	0.08480	-0.36309	-0.64437
-2.38512	-0.53716	0.08960	-0.36309	-0.64437
-2.33454	-0.51028	0.08811	-0.36021	-0.62457
-2.33454	-0.49831	0.08093	-0.36021	-0.62457
-2.10188	-0.45517	0.06548	-0.33416	-0.53761
-2.02095	-0.40360	0.08557	-0.30562	-0.50887
-1.95014	-0.42917	0.07530	-0.28225	-0.48433
-1.87933	-0.37269	0.06410	-0.26033	-0.46034
-1.80852	-0.37285	0.05374	-0.30924	-0.44601
-1.80852	-0.36001	0.06580	-0.23978	-0.44601
-1.80852	-0.34886	0.06050	-0.23978	-0.43687
-1.63655	-0.33525	0.03860	-0.28083	-0.39923
-1.63655	-0.31674	0.06253	-0.19528	-0.39923
-1.60620	-0.30015	0.05761	-0.18818	-0.39091
-1.54550	-0.29003	0.05760	-0.17460	-0.37423
-1.53539	-0.28830	0.05443	-0.17242	-0.37145
-1.47469	-0.27348	0.05282	-0.15979	-0.35471
-1.37353	-0.24911	0.05268	-0.14045	-0.32674
-1.31284	-0.24723	0.03466	-0.18172	-0.30993
-1.26226	-0.21841	0.05466	-0.12146	-0.29593
-1.26226	-0.23228	0.05084	-0.12146	-0.29593
-1.25214	-0.22769	0.04786	-0.11984	-0.29312
-1.24203	-0.21065	0.04682	-0.11825	-0.26609
-1.22180	-0.21445	0.05355	-0.11510	-0.28472
-1.13075	-0.20561	0.03017	-0.14450	-0.25954
-1.05994	-0.19013	0.03163	-0.13121	-0.23999
-1.03971	-0.18709	0.02926	-0.12752	-0.23442
-0.97901	-0.15485	0.03502	-0.08241	-0.19543
-0.94867	-0.14782	0.03303	-0.07891	-0.18756
-0.94867	-0.15466	0.03666	-0.07891	-0.20941
-0.93855	-0.14767	0.03665	-0.07777	-0.18495
-0.84751	-0.13146	0.03352	-0.06805	-0.16330
-0.84751	-0.13757	0.03550	-0.06805	-0.18179
-0.84751	-0.12991	0.03475	-0.06805	-0.18179
-0.76658	-0.11633	0.02961	-0.06017	-0.15987
-0.70589	-0.11004	0.02619	-0.05468	-0.14354
-0.67554	-0.09707	0.02267	-0.05205	-0.11954
-0.65531	-0.10039	0.02549	-0.05034	-0.13001
-0.64519	-0.09729	0.02466	-0.04950	-0.12732
-0.64519	-0.09058	0.02606	-0.04950	-0.12732
-0.62496	-0.10174	0.01823	-0.06161	-0.12216
-0.61484	-0.09258	0.02511	-0.04701	-0.12026
-0.60473	-0.09129	0.02223	-0.04620	-0.11836
-0.57438	-0.08043	0.02013	-0.04381	-0.10855
-0.56426	-0.08592	0.02092	-0.04302	-0.11073
-0.52380	-0.08071	0.01562	-0.04786	-0.10308
-0.51368	-0.08282	0.01104	-0.06751	-0.10116
-0.51368	-0.07190	0.01759	-0.03919	-0.09262
-0.50357	-0.06901	0.01976	-0.03844	-0.09924
-0.46310	-0.06395	0.01928	-0.03549	-0.09155
-0.45299	-0.06291	0.01763	-0.03477	-0.08963
-0.45299	-0.06318	0.01937	-0.03477	-0.08963
-0.44287	-0.06679	0.01659	-0.03405	-0.08770
-0.44287	-0.06331	0.01823	-0.03405	-0.08770
-0.43276	-0.06309	0.01362	-0.03610	-0.07730
-0.42264	-0.05922	0.01508	-0.03482	-0.08385
-0.40241	-0.05520	0.01533	-0.03122	-0.07999
-0.39229	-0.05592	0.01379	-0.03052	-0.07806
-0.37206	-0.04712	0.01446	-0.02854	-0.06725
-0.35183	-0.04720	0.01566	-0.02607	-0.07033
-0.33160	-0.04181	0.01426	-0.02361	-0.06646
-0.33160	-0.04296	0.01370	-0.02361	-0.06646
-0.32148	-0.04295	0.01317	-0.02240	-0.06453
-0.24056	-0.02748	0.01269	-0.01283	-0.04906
-0.22032	-0.02534	0.01386	-0.01048	-0.04520
-0.20009	-0.02266	0.01391	-0.00815	-0.04133
-0.18998	-0.01921	0.01343	-0.00522	-0.03940
-0.18998	-0.01982	0.01319	-0.00522	-0.03940
-0.16974	-0.01644	0.01336	-0.00063	-0.03554
-0.13940	-0.00898	0.01319	0.00625	-0.03002
-0.10905	-0.00498	0.01265	0.01310	-0.02398
-0.08882	-0.00197	0.01315	0.01766	-0.02212
-0.07870	0.00084	0.01458	0.01993	-0.02055
-0.04835	0.00622	0.01373	0.02676	-0.01486
-0.03824	0.01008	0.01447	0.02903	-0.01427
-0.02812	0.00927	0.01579	0.03129	-0.01270
-0.02812	0.00948	0.01543	0.03129	-0.01270
-0.01801	0.00931	0.01589	0.03356	-0.01113
0.00223	0.02114	0.01480	0.03809	-0.00726
0.03257	0.01748	0.01831	0.04488	-0.00332
0.03257	0.01143	0.01643	0.04277	-0.00332
0.04269	0.01917	0.01864	0.04714	-0.00176
0.04269	0.02102	0.01814	0.04714	-0.00176
0.04269	0.01770	0.01669	0.04714	-0.00176
0.06292	0.01915	0.01636	0.04977	-0.00026
0.07304	0.02330	0.01788	0.05391	0.00045
0.08315	0.02592	0.01999	0.05617	0.00116
