feat_values_sorted	pred_f_3d_avg_sorted	pred_f_3d_sd_sorted	pred_f_3d_max_sorted	pred_f_3d_min_sorted
-3.00696	-0.44293	0.10764	-0.18753	-0.60001
-2.20117	-0.27608	0.03920	-0.20863	-0.31552
-1.93574	-0.20437	0.04995	-0.10641	-0.26048
-1.84094	-0.18993	0.04426	-0.09957	-0.24200
-1.84094	-0.19995	0.03185	-0.14878	-0.24200
-1.83146	-0.19140	0.04444	-0.09889	-0.23972
-1.77458	-0.20107	0.02568	-0.14800	-0.22998
-1.73666	-0.17784	0.04675	-0.09214	-0.22349
-1.71770	-0.17873	0.03177	-0.13131	-0.22025
-1.67978	-0.15929	0.04203	-0.08813	-0.21377
-1.67978	-0.16559	0.03065	-0.12621	-0.21194
-1.56602	-0.14300	0.03492	-0.08021	-0.19171
-1.53758	-0.14268	0.03424	-0.07826	-0.18958
-1.50914	-0.14126	0.03496	-0.07630	-0.18476
-1.49018	-0.14265	0.02712	-0.10261	-0.18156
-1.41435	-0.11878	0.02988	-0.06987	-0.16880
-1.38591	-0.12247	0.03184	-0.06796	-0.16404
-1.37643	-0.11890	0.03062	-0.06732	-0.16246
-1.34799	-0.11964	0.02813	-0.06543	-0.15771
-1.32903	-0.10772	0.02714	-0.06417	-0.15456
-1.25319	-0.10290	0.02677	-0.05917	-0.14202
-1.24371	-0.11057	0.02146	-0.07622	-0.14046
-1.22475	-0.09838	0.02331	-0.05732	-0.13557
-1.16787	-0.09616	0.02283	-0.05364	-0.12806
-1.14891	-0.08804	0.02290	-0.05242	-0.12397
-1.12995	-0.09271	0.02361	-0.05121	-0.12191
-1.12995	-0.08886	0.02206	-0.05121	-0.12191
-1.11099	-0.08856	0.02181	-0.05001	-0.11885
-1.10151	-0.08160	0.01257	-0.06295	-0.09577
-1.07307	-0.08587	0.01887	-0.06045	-0.11277
-1.06359	-0.07615	0.01899	-0.04701	-0.11128
-1.04463	-0.07563	0.02266	-0.04582	-0.10851
-1.01619	-0.07946	0.01907	-0.04405	-0.10439
-0.98775	-0.07405	0.01828	-0.04228	-0.10031
-0.95931	-0.06826	0.01971	-0.04053	-0.09475
-0.95931	-0.06782	0.01623	-0.04053	-0.09627
-0.94983	-0.06739	0.01876	-0.03995	-0.09493
-0.94035	-0.06377	0.01618	-0.03937	-0.09359
-0.93087	-0.06915	0.01446	-0.04869	-0.09226
-0.91191	-0.06430	0.01679	-0.03764	-0.08962
-0.87399	-0.06174	0.01473	-0.03535	-0.08437
-0.84555	-0.05621	0.01471	-0.03364	-0.08048
-0.83607	-0.05331	0.01291	-0.03308	-0.07571
-0.79816	-0.05386	0.01377	-0.03083	-0.07409
-0.77920	-0.05016	0.01241	-0.02972	-0.07156
-0.77920	-0.04744	0.01280	-0.02972	-0.07156
-0.72232	-0.04604	0.01016	-0.03341	-0.06406
-0.69388	-0.04394	0.01026	-0.02477	-0.06036
-0.68440	-0.04463	0.00935	-0.03085	-0.05914
-0.66544	-0.03904	0.01005	-0.02315	-0.05670
-0.66544	-0.03694	0.00791	-0.02315	-0.05028
-0.66544	-0.03691	0.00956	-0.02315	-0.05670
-0.65596	-0.03879	0.01024	-0.02261	-0.05549
-0.63700	-0.03432	0.00725	-0.02154	-0.04616
-0.62752	-0.03529	0.00598	-0.02714	-0.04479
-0.62752	-0.03402	0.00727	-0.02101	-0.04479
