feat_values_sorted	pred_f_3d_avg_sorted	pred_f_3d_sd_sorted	pred_f_3d_max_sorted	pred_f_3d_min_sorted
-2.34009	-0.14884	0.05841	-0.06302	-0.22692
-2.22084	-0.10955	0.05110	-0.02037	-0.18641
-2.00223	-0.14398	0.04049	-0.08185	-0.20035
-1.88298	-0.11807	0.05342	-0.02109	-0.19004
-1.82336	-0.11860	0.04083	-0.05182	-0.16543
-1.79355	-0.11410	0.05143	-0.02094	-0.18202
-1.70411	-0.10745	0.05400	-0.02065	-0.17378
-1.66437	-0.10092	0.05177	-0.02048	-0.17005
-1.66437	-0.10330	0.04911	-0.02048	-0.17005
-1.65443	-0.10734	0.04833	-0.02044	-0.16911
-1.64449	-0.12173	0.04003	-0.04746	-0.16817
-1.61468	-0.10405	0.04887	-0.02024	-0.16533
-1.53518	-0.09818	0.04468	-0.01978	-0.14283
-1.49544	-0.10354	0.04472	-0.01952	-0.15377
-1.43581	-0.09982	0.04164	-0.01908	-0.13922
-1.42588	-0.08763	0.04529	-0.01900	-0.14689
-1.28676	-0.09425	0.03404	-0.03816	-0.13286
-1.21720	-0.08512	0.03883	-0.01710	-0.12743
-1.21720	-0.08434	0.03924	-0.01710	-0.12743
-1.16751	-0.07565	0.03725	-0.01658	-0.12408
-1.07808	-0.06937	0.03250	-0.01557	-0.09461
-1.04827	-0.06903	0.03322	-0.01522	-0.11509
-1.04827	-0.07132	0.03325	-0.01522	-0.11509
-1.03833	-0.06832	0.03396	-0.01510	-0.11428
-1.01845	-0.07394	0.02970	-0.03076	-0.11265
-1.00852	-0.06903	0.03086	-0.01474	-0.11182
-0.99858	-0.07013	0.03210	-0.01461	-0.11098
-0.98864	-0.06537	0.03269	-0.01449	-0.11014
-0.96877	-0.06194	0.03338	-0.01424	-0.10842
-0.96877	-0.05812	0.02934	-0.01424	-0.09970
-0.90915	-0.06241	0.03146	-0.01347	-0.10309
-0.89921	-0.04872	0.02509	-0.01334	-0.08084
-0.86940	-0.06528	0.02807	-0.01294	-0.09938
-0.85946	-0.05685	0.02882	-0.01280	-0.09844
-0.81971	-0.04619	0.02544	-0.01226	-0.08381
-0.77996	-0.05568	0.02617	-0.01171	-0.09064
-0.77996	-0.05352	0.02730	-0.01171	-0.09064
-0.77003	-0.06011	0.02163	-0.02367	-0.08964
-0.72034	-0.04864	0.02348	-0.01085	-0.08452
-0.69053	-0.04174	0.01904	-0.01042	-0.06294
-0.65078	-0.04366	0.02127	-0.00983	-0.07711
-0.63091	-0.04700	0.02200	-0.00954	-0.07494
-0.63091	-0.04472	0.02143	-0.00954	-0.07494
-0.62097	-0.04493	0.02138	-0.00939	-0.07385
-0.62097	-0.04857	0.01921	-0.01888	-0.07385
-0.61103	-0.04429	0.01793	-0.01850	-0.07275
-0.61103	-0.04326	0.01957	-0.00924	-0.07275
-0.60110	-0.04158	0.02023	-0.00909	-0.07165
-0.60110	-0.04172	0.02028	-0.00909	-0.07165
-0.59116	-0.04178	0.02008	-0.00894	-0.07054
-0.58122	-0.04099	0.01861	-0.00879	-0.06943
-0.57128	-0.03924	0.01936	-0.00864	-0.06831
-0.57128	-0.04115	0.01682	-0.01695	-0.06831
-0.51166	-0.03070	0.01698	-0.00772	-0.05067
-0.45204	-0.02637	0.01277	-0.00679	-0.04426
-0.44210	-0.02939	0.01511	-0.00663	-0.05336
-0.44210	-0.02376	0.01484	-0.00663	-0.05336
-0.43216	-0.02521	0.00993	-0.01166	-0.03877
-0.42223	-0.03127	0.01196	-0.01129	-0.05100
-0.42223	-0.03359	0.01368	-0.00632	-0.05100
-0.41229	-0.02415	0.01424	-0.00616	-0.04981
-0.35267	-0.01926	0.01139	-0.00521	-0.04262
-0.34273	-0.01950	0.01259	-0.00505	-0.04140
-0.34273	-0.02135	0.01095	-0.00836	-0.04140
-0.33279	-0.02122	0.01131	-0.00489	-0.04019
-0.33279	-0.01842	0.01112	-0.00489	-0.04019
-0.30298	-0.01612	0.00658	-0.00692	-0.02614
-0.29305	-0.01834	0.00960	-0.00425	-0.03530
-0.29305	-0.01818	0.00974	-0.00425	-0.03530
-0.28311	-0.01718	0.00979	-0.00409	-0.03407
-0.25330	-0.01514	0.00839	-0.00361	-0.03036
