feat_values_sorted	pred_f_3d_avg_sorted	pred_f_3d_sd_sorted	pred_f_3d_max_sorted	pred_f_3d_min_sorted
-2.57149	-0.43778	0.11440	-0.25373	-0.63365
-2.38108	-0.47672	0.09515	-0.30438	-0.61319
-2.38108	-0.42570	0.10876	-0.26865	-0.61319
-2.14307	-0.40479	0.09448	-0.27837	-0.56899
-2.00026	-0.40871	0.07928	-0.27968	-0.54246
-1.91458	-0.42138	0.06992	-0.31578	-0.52545
-1.82889	-0.38555	0.07413	-0.27701	-0.50767
-1.79081	-0.34446	0.05705	-0.27580	-0.45534
-1.78129	-0.38500	0.07453	-0.27547	-0.49747
-1.75273	-0.37800	0.07898	-0.27439	-0.49124
-1.70513	-0.36893	0.06919	-0.27232	-0.48069
-1.57184	-0.32874	0.04887	-0.26480	-0.40209
-1.48615	-0.32844	0.05059	-0.25867	-0.38694
-1.47663	-0.32004	0.04886	-0.25793	-0.38519
-1.43855	-0.34712	0.04793	-0.26679	-0.41780
-1.39095	-0.32309	0.04226	-0.25070	-0.36896
-1.37191	-0.32188	0.04920	-0.24897	-0.40114
-1.37191	-0.32950	0.05189	-0.24897	-0.40114
-1.29574	-0.30850	0.04595	-0.24156	-0.38169
-1.27670	-0.29109	0.04141	-0.23960	-0.34522
-1.26718	-0.30087	0.04822	-0.23860	-0.37429
-1.17198	-0.29173	0.03863	-0.22800	-0.34920
-1.15294	-0.27521	0.03275	-0.22574	-0.31911
-1.14341	-0.27343	0.03242	-0.22460	-0.31698
-1.14341	-0.27612	0.03990	-0.22460	-0.34155
-1.13389	-0.28009	0.04119	-0.22345	-0.33899
-1.07677	-0.26864	0.03896	-0.21631	-0.32350
-1.07677	-0.26092	0.03000	-0.21703	-0.30178
-1.00061	-0.25195	0.03433	-0.20534	-0.30254
-1.00061	-0.25195	0.03433	-0.20534	-0.30254
-0.98157	-0.24915	0.03739	-0.20236	-0.29725
-0.98157	-0.23988	0.03274	-0.20236	-0.29725
-0.93396	-0.22930	0.03098	-0.19479	-0.27540
-0.91492	-0.24001	0.03166	-0.19173	-0.27856
-0.88636	-0.22822	0.03016	-0.18708	-0.27048
-0.88636	-0.23414	0.03013	-0.18708	-0.27048
-0.85780	-0.21812	0.02797	-0.18238	-0.26236
-0.80068	-0.20979	0.02712	-0.17283	-0.24600
-0.79116	-0.20854	0.02812	-0.17122	-0.24326
-0.78164	-0.21359	0.02473	-0.17366	-0.24051
-0.78164	-0.21037	0.02627	-0.17239	-0.24051
-0.77211	-0.20817	0.02655	-0.16798	-0.23824
-0.76259	-0.20508	0.02465	-0.16636	-0.23598
-0.70547	-0.19215	0.02459	-0.15648	-0.22223
-0.70547	-0.18874	0.02385	-0.15648	-0.22223
-0.67691	-0.18009	0.02309	-0.15147	-0.21524
-0.63883	-0.18276	0.01647	-0.16494	-0.20581
-0.63883	-0.17084	0.02101	-0.14460	-0.20581
-0.63883	-0.17047	0.01843	-0.14460	-0.19883
-0.60075	-0.16290	0.02054	-0.13705	-0.19626
-0.55314	-0.14795	0.01614	-0.12752	-0.17344
-0.50554	-0.14900	0.01602	-0.12579	-0.17185
-0.46746	-0.13044	0.01391	-0.11013	-0.14801
-0.43890	-0.12825	0.01550	-0.10426	-0.15433
-0.42938	-0.12526	0.01501	-0.10230	-0.15180
-0.41986	-0.12579	0.01437	-0.10034	-0.14926
-0.40081	-0.11756	0.01430	-0.09640	-0.14417
-0.40081	-0.11974	0.01468	-0.09640	-0.14417
-0.39129	-0.10977	0.01140	-0.09442	-0.12482
-0.38177	-0.11352	0.01474	-0.09244	-0.13904
-0.38177	-0.11233	0.01439	-0.09244	-0.13904
-0.37225	-0.11490	0.01401	-0.09528	-0.13647
-0.36273	-0.11076	0.01283	-0.09345	-0.13389
-0.36273	-0.10371	0.01144	-0.08847	-0.11996
-0.34369	-0.10621	0.01305	-0.08449	-0.12871
-0.33417	-0.10129	0.01253	-0.08249	-0.12611
-0.32465	-0.09864	0.01289	-0.08049	-0.12351
-0.30561	-0.09375	0.01237	-0.07647	-0.11828
-0.29609	-0.09236	0.01288	-0.07446	-0.11565
-0.29609	-0.09436	0.01266	-0.07446	-0.11565
-0.29609	-0.09195	0.01261	-0.07446	-0.11565
-0.26753	-0.08454	0.01154	-0.06841	-0.10774
-0.26753	-0.08102	0.00799	-0.06841	-0.09400
-0.25801	-0.08250	0.01136	-0.06638	-0.10509
-0.25801	-0.08243	0.01078	-0.06638	-0.10509
-0.23897	-0.07674	0.01056	-0.06232	-0.09977
-0.23897	-0.07778	0.01092	-0.06232	-0.09977
-0.21992	-0.07397	0.01011	-0.06152	-0.09443
-0.21040	-0.07147	0.01075	-0.05620	-0.09175
-0.19136	-0.06961	0.00844	-0.05979	-0.08637
-0.17232	-0.06232	0.00875	-0.04975	-0.08096
-0.16280	-0.05756	0.00762	-0.04593	-0.06656
-0.15328	-0.05773	0.00921	-0.04504	-0.07553
-0.14376	-0.05424	0.00932	-0.04268	-0.07281
-0.13424	-0.04911	0.00673	-0.03973	-0.05945
-0.13424	-0.05029	0.00621	-0.04033	-0.05945
-0.12472	-0.04875	0.00621	-0.03797	-0.05706
-0.09616	-0.04093	0.00907	-0.03090	-0.05911
-0.08664	-0.03710	0.00690	-0.02854	-0.04747
-0.08664	-0.03907	0.00920	-0.02854	-0.05636
-0.05808	-0.03251	0.00888	-0.02146	-0.04805
-0.03903	-0.02558	0.00947	-0.01520	-0.04249
-0.01999	-0.02350	0.00837	-0.00930	-0.03691
0.00857	-0.01504	0.00841	-0.00232	-0.02849
0.02761	-0.00564	0.00859	0.00552	-0.01816
0.03713	-0.00692	0.00951	0.00850	-0.02003
0.05617	-0.00085	0.01055	0.01446	-0.01437
0.05617	-0.00095	0.00857	0.01446	-0.00950
0.10377	0.01045	0.01171	0.02942	-0.00012
0.10377	0.01059	0.01061	0.02942	-0.00012
0.10377	0.01063	0.01188	0.02942	-0.00012
0.13234	0.01617	0.01001	0.03843	0.00700
0.17994	0.03231	0.01198	0.05351	0.01988
0.23706	0.04210	0.01142	0.06822	0.02936
0.25610	0.05204	0.01183	0.07409	0.03796
0.25610	0.04845	0.01227	0.07409	0.03346
0.27514	0.05628	0.01463	0.08387	0.03757
0.27514	0.05504	0.01312	0.08387	0.03757
0.28466	0.05233	0.00796	0.06396	0.03962
0.29418	0.06237	0.01566	0.08997	0.04168
0.37035	0.08135	0.01803	0.11444	0.05825
0.37035	0.08453	0.01835	0.11444	0.05825
0.37987	0.08728	0.01634	0.11751	0.06797
0.37987	0.08416	0.01950	0.11751	0.06033
0.38939	0.08408	0.01593	0.12058	0.06241
0.38939	0.08550	0.01410	0.11507	0.07030
0.42747	0.09345	0.01818	0.12674	0.07077
0.43699	0.10317	0.01769	0.13594	0.08206
0.43699	0.10438	0.02069	0.13594	0.07286
0.45603	0.10625	0.02049	0.14210	0.07705
0.46555	0.11002	0.01991	0.14518	0.07915
0.48459	0.11442	0.02117	0.15134	0.08335
0.48459	0.10779	0.01757	0.14419	0.08335
0.49412	0.11482	0.02164	0.15442	0.08546
0.49412	0.11321	0.02087	0.15442	0.08546
0.51316	0.12531	0.02165	0.16059	0.08967
0.51316	0.11886	0.02365	0.15288	0.08967
0.52268	0.12007	0.02219	0.16367	0.09178
0.57028	0.14110	0.02351	0.17911	0.10235
0.58932	0.14922	0.02280	0.18529	0.12031
0.63692	0.15407	0.02159	0.19036	0.11722
0.64644	0.15641	0.02766	0.20383	0.11935
0.64644	0.15368	0.02326	0.20383	0.11935
0.65596	0.17466	0.02159	0.20692	0.14298
0.66548	0.16164	0.02669	0.21001	0.12361
0.66548	0.16076	0.02057	0.19895	0.13976
0.67501	0.16995	0.02341	0.21310	0.14221
0.68453	0.16280	0.02465	0.20466	0.12788
0.70357	0.17551	0.02733	0.22237	0.13215
0.73213	0.17750	0.02374	0.21890	0.13857
0.75117	0.18374	0.02101	0.22457	0.16187
0.77021	0.18548	0.02779	0.24400	0.14714
0.77973	0.19308	0.03001	0.24708	0.14928
0.82733	0.20334	0.02855	0.26251	0.16003
0.83685	0.21327	0.03066	0.26559	0.16218
0.83685	0.20601	0.03120	0.26559	0.16218
0.89398	0.22705	0.03353	0.28406	0.17510
0.92254	0.23561	0.02789	0.29328	0.20669
0.93206	0.23183	0.02894	0.27778	0.18372
0.96062	0.24231	0.03622	0.30555	0.19020
1.00822	0.26426	0.03089	0.32085	0.22934
1.01774	0.26058	0.03516	0.32390	0.20316
1.02726	0.26780	0.03787	0.32696	0.20532
1.04631	0.25517	0.02624	0.30006	0.20964
1.07487	0.27362	0.03988	0.34218	0.21613
1.14151	0.29225	0.03920	0.36341	0.23126
1.17007	0.29909	0.04113	0.37246	0.23775
1.18911	0.30077	0.03780	0.35085	0.24207
1.18911	0.29437	0.03069	0.35085	0.24207
1.19863	0.30928	0.04011	0.38149	0.24423
1.22720	0.31399	0.03759	0.36138	0.25071
1.27480	0.32308	0.03842	0.37551	0.26151
1.33192	0.34221	0.04187	0.42325	0.27445
1.34144	0.34690	0.04412	0.42621	0.27660
1.37000	0.35787	0.04354	0.43506	0.28306
1.37952	0.35580	0.04367	0.43800	0.28521
1.43665	0.38037	0.05136	0.45556	0.29810
1.44617	0.37869	0.04517	0.45847	0.30025
1.44617	0.38740	0.03882	0.45847	0.34385
1.48425	0.39336	0.05040	0.47007	0.30882
1.50329	0.40583	0.04136	0.47585	0.35894
1.52233	0.40492	0.05049	0.48160	0.31737
1.60802	0.42465	0.05254	0.50725	0.33654
1.60802	0.41608	0.05658	0.50725	0.33654
1.74130	0.44820	0.04649	0.52876	0.36612
1.76034	0.47742	0.04412	0.55177	0.42765
1.99836	0.52866	0.05731	0.61810	0.42209
2.05548	0.53226	0.05287	0.63336	0.43429
2.56959	0.66400	0.07086	0.78572	0.53892
2.63623	0.66972	0.07370	0.80493	0.55167
