feat_values_sorted	pred_f_3d_avg_sorted	pred_f_3d_sd_sorted	pred_f_3d_max_sorted	pred_f_3d_min_sorted
-3.05851	-0.63924	0.12844	-0.44413	-0.82743
-2.64667	-0.52488	0.09397	-0.35239	-0.65404
-2.26424	-0.41517	0.07260	-0.27739	-0.51459
-2.10735	-0.35906	0.05443	-0.24925	-0.42528
-2.09755	-0.37040	0.06756	-0.24754	-0.45969
-1.95046	-0.32635	0.05267	-0.22254	-0.41400
-1.93085	-0.32842	0.05019	-0.21930	-0.40810
-1.84260	-0.29749	0.05105	-0.20499	-0.38206
-1.78376	-0.28315	0.04880	-0.19568	-0.36517
-1.73473	-0.28269	0.03914	-0.20968	-0.35138
-1.71512	-0.25291	0.03905	-0.18505	-0.29414
-1.68571	-0.26448	0.04933	-0.18057	-0.33783
-1.56804	-0.23394	0.04662	-0.16309	-0.30631
-1.53862	-0.23778	0.01016	-0.22776	-0.25584
-1.46017	-0.21326	0.03934	-0.14768	-0.27861
-1.34250	-0.20791	0.01918	-0.19188	-0.24961
-1.27386	-0.18329	0.02867	-0.12237	-0.23326
-1.26406	-0.17112	0.03121	-0.11824	-0.20713
-1.25425	-0.17263	0.03311	-0.11668	-0.22866
-1.24445	-0.16723	0.03069	-0.11514	-0.20302
-1.22484	-0.16355	0.03536	-0.11210	-0.22182
-1.10717	-0.16215	0.01543	-0.14755	-0.19519
-1.08756	-0.14617	0.02228	-0.09216	-0.17137
-1.05814	-0.12977	0.02496	-0.08819	-0.15860
-1.04833	-0.13814	0.02903	-0.08688	-0.18228
-0.96008	-0.12376	0.02679	-0.07564	-0.16340
-0.96008	-0.11943	0.02627	-0.07564	-0.16340
-0.94047	-0.12066	0.02785	-0.07326	-0.15928
-0.93066	-0.12467	0.02004	-0.07977	-0.15723
-0.92086	-0.10973	0.02276	-0.07091	-0.13259
-0.90125	-0.11445	0.02525	-0.06860	-0.15113
-0.90125	-0.11351	0.02650	-0.06860	-0.15113
-0.90125	-0.11462	0.02396	-0.06860	-0.15113
-0.90125	-0.11220	0.02406	-0.06860	-0.15113
-0.88163	-0.10418	0.02289	-0.06634	-0.13289
-0.83261	-0.10525	0.01903	-0.06849	-0.13712
-0.83261	-0.10350	0.02340	-0.06083	-0.13712
-0.82280	-0.10364	0.01654	-0.06738	-0.12245
-0.81299	-0.10437	0.01944	-0.05869	-0.13317
-0.73455	-0.09185	0.01958	-0.05048	-0.11764
-0.73455	-0.09215	0.01874	-0.05048	-0.11764
-0.71494	-0.08482	0.02139	-0.04851	-0.11382
-0.70513	-0.08821	0.01919	-0.04754	-0.11192
-0.67571	-0.08146	0.01374	-0.05119	-0.09733
-0.67571	-0.08360	0.01845	-0.04467	-0.10625
-0.64630	-0.07434	0.01927	-0.04186	-0.10063
-0.63649	-0.07372	0.01717	-0.04094	-0.09877
-0.61688	-0.06894	0.01802	-0.03912	-0.09507
-0.59727	-0.07255	0.01358	-0.04288	-0.09138
-0.57766	-0.06498	0.01652	-0.03557	-0.08772
-0.56785	-0.06535	0.01257	-0.03982	-0.08590
-0.56785	-0.06027	0.01486	-0.03469	-0.07967
-0.54824	-0.05855	0.01555	-0.03297	-0.07652
-0.52863	-0.05635	0.01413	-0.03127	-0.07339
-0.51882	-0.05626	0.01491	-0.03043	-0.07687
-0.46979	-0.04978	0.01301	-0.02632	-0.06796
-0.45018	-0.03954	0.00993	-0.02471	-0.04901
-0.38154	-0.03970	0.00947	-0.02109	-0.05225
-0.36193	-0.03420	0.01116	-0.01775	-0.04881
-0.32271	-0.02983	0.01016	-0.01478	-0.04198
-0.31290	-0.02704	0.00915	-0.01405	-0.04029
-0.31290	-0.02829	0.00946	-0.01405	-0.04029
-0.27368	-0.02501	0.00726	-0.01384	-0.03409
-0.27368	-0.02314	0.01024	-0.01074	-0.03409
-0.25407	-0.02091	0.00867	-0.00890	-0.03135
-0.24426	-0.01813	0.00762	-0.00905	-0.02854
-0.22465	-0.01481	0.00762	-0.00615	-0.02678
-0.22465	-0.01659	0.00786	-0.00615	-0.02726
-0.19523	-0.01232	0.00772	-0.00273	-0.02318
-0.19523	-0.01269	0.00682	-0.00273	-0.02318
-0.19523	-0.01117	0.00724	-0.00273	-0.02242
-0.18543	-0.01245	0.00724	-0.00253	-0.02182
-0.17562	-0.00884	0.00742	0.00002	-0.02046
-0.16582	-0.01178	0.00619	-0.00215	-0.01911
-0.15601	-0.00784	0.00733	0.00275	-0.01775
-0.14620	-0.00619	0.00728	0.00412	-0.01639
-0.13640	-0.00684	0.00684	0.00548	-0.01504
-0.12659	-0.00337	0.00694	0.00683	-0.01368
-0.11679	-0.00161	0.00683	0.00819	-0.01088
-0.11679	-0.00168	0.00651	0.00819	-0.01088
-0.10698	-0.00139	0.00614	0.00954	-0.01097
-0.07756	0.00137	0.00607	0.01357	-0.00691
-0.06776	0.00403	0.00681	0.01491	-0.00556
-0.04815	0.00789	0.00616	0.01759	-0.00087
-0.03834	0.00553	0.00617	0.01794	-0.00151
