feat_values_sorted	pred_f_3d_avg_sorted	pred_f_3d_sd_sorted	pred_f_3d_max_sorted	pred_f_3d_min_sorted
-2.59212	-0.62905	0.12838	-0.39049	-0.82349
-2.00391	-0.32519	0.06058	-0.21285	-0.40908
-1.99427	-0.29868	0.07687	-0.14149	-0.38732
-1.99427	-0.30232	0.08731	-0.14149	-0.40391
-1.87856	-0.29480	0.03829	-0.22575	-0.34563
-1.85927	-0.25914	0.06656	-0.12373	-0.33656
-1.82070	-0.24950	0.05952	-0.11917	-0.31894
-1.82070	-0.24218	0.06522	-0.11917	-0.31894
-1.78213	-0.25271	0.05854	-0.11482	-0.30201
-1.75320	-0.23326	0.05552	-0.11170	-0.28976
-1.68570	-0.21022	0.04925	-0.10486	-0.26262
-1.67606	-0.23073	0.02080	-0.19654	-0.25891
-1.64713	-0.20346	0.04442	-0.10122	-0.24800
-1.51213	-0.17100	0.03642	-0.08991	-0.20230
-1.50249	-0.16528	0.03629	-0.08918	-0.19945
-1.37713	-0.15013	0.02859	-0.08060	-0.16534
-1.37713	-0.14972	0.02687	-0.08060	-0.16534
-1.37713	-0.14604	0.02729	-0.08060	-0.16534
-1.34820	-0.13650	0.02937	-0.07884	-0.15785
-1.18428	-0.11189	0.01901	-0.07023	-0.13248
-1.14571	-0.10781	0.01999	-0.06851	-0.12951
-1.01071	-0.09209	0.01135	-0.07361	-0.11419
-0.99142	-0.08122	0.00974	-0.06257	-0.09441
-0.93357	-0.08479	0.01407	-0.06069	-0.10568
-0.93357	-0.08080	0.01126	-0.06069	-0.09731
-0.91428	-0.08011	0.01315	-0.06009	-0.10358
-0.87571	-0.07598	0.01252	-0.05895	-0.09940
-0.86607	-0.07291	0.01136	-0.05867	-0.09836
-0.84678	-0.07548	0.01171	-0.06258	-0.09629
-0.82749	-0.07001	0.01119	-0.05760	-0.09423
-0.77928	-0.06691	0.01095	-0.05487	-0.08911
-0.76964	-0.06451	0.01087	-0.05607	-0.08810
-0.76000	-0.06486	0.01056	-0.05569	-0.08708
-0.74071	-0.06347	0.01044	-0.05086	-0.08506
-0.74071	-0.05930	0.00749	-0.05086	-0.07492
-0.74071	-0.06770	0.01027	-0.05535	-0.08506
-0.70214	-0.06135	0.00987	-0.04939	-0.08103
-0.70214	-0.05961	0.01041	-0.04710	-0.08103
-0.67321	-0.05855	0.00980	-0.04643	-0.07802
-0.66357	-0.05676	0.00954	-0.04547	-0.07703
-0.64428	-0.05773	0.00898	-0.04804	-0.07504
-0.61535	-0.05494	0.01028	-0.04087	-0.07206
-0.61535	-0.05063	0.01046	-0.03954	-0.07206
-0.61535	-0.05319	0.00910	-0.03954	-0.07206
-0.59607	-0.04942	0.00650	-0.03801	-0.06020
-0.58643	-0.04949	0.00970	-0.03727	-0.06910
-0.58643	-0.04972	0.00972	-0.03727	-0.06910
-0.56714	-0.04793	0.00918	-0.03582	-0.06713
-0.55750	-0.04701	0.01001	-0.03511	-0.06615
-0.53821	-0.04744	0.00850	-0.03373	-0.06419
-0.53821	-0.04611	0.00900	-0.03373	-0.06419
-0.51893	-0.04410	0.00921	-0.03240	-0.06223
-0.48035	-0.04332	0.00824	-0.02952	-0.05833
-0.43214	-0.03813	0.00940	-0.02595	-0.05348
-0.41286	-0.03739	0.00866	-0.02458	-0.05155
-0.39357	-0.03542	0.00855	-0.02324	-0.04961
-0.34536	-0.03154	0.00783	-0.02003	-0.04480
-0.31643	-0.02959	0.00761	-0.01818	-0.04191
-0.31643	-0.03225	0.00948	-0.01818	-0.04544
-0.28750	-0.03081	0.00793	-0.01926	-0.04469
-0.25857	-0.02773	0.00863	-0.01465	-0.04392
-0.24893	-0.02650	0.00969	-0.01408	-0.04366
-0.22964	-0.02604	0.00890	-0.01296	-0.04313
-0.22964	-0.02452	0.00920	-0.01296	-0.04313
-0.22000	-0.02511	0.00930	-0.01240	-0.04286
-0.20071	-0.02519	0.00846	-0.01528	-0.04231
-0.19107	-0.01729	0.00465	-0.01076	-0.02490
-0.18143	-0.02501	0.00858	-0.01443	-0.04174
-0.17179	-0.02298	0.01205	-0.00968	-0.04145
-0.16214	-0.02350	0.00929	-0.00915	-0.04116
-0.15250	-0.02116	0.00909	-0.00862	-0.04086
-0.14286	-0.02058	0.00913	-0.00809	-0.04056
-0.13321	-0.01894	0.00997	-0.00756	-0.04025
-0.13321	-0.02152	0.00914	-0.01236	-0.04025
-0.13321	-0.02066	0.00944	-0.00756	-0.04025
-0.13321	-0.01884	0.00742	-0.00756	-0.03107
-0.11393	-0.01884	0.00927	-0.00652	-0.03963
-0.10429	-0.01983	0.00935	-0.01113	-0.03931
-0.10429	-0.01592	0.00647	-0.00600	-0.02987
-0.09464	-0.01743	0.00985	-0.00549	-0.03899
-0.05607	-0.01534	0.00960	-0.00343	-0.03765
-0.04643	-0.01536	0.01071	-0.00292	-0.03730
-0.03679	-0.01453	0.01019	-0.00241	-0.03695
-0.02714	-0.01451	0.01071	-0.00191	-0.03659
0.00178	-0.01181	0.00999	-0.00038	-0.03549
0.01143	-0.01018	0.00993	0.00013	-0.03511
0.01143	-0.01121	0.01006	0.00013	-0.03511
0.02107	-0.00827	0.00682	0.00064	-0.02441
0.03071	-0.01111	0.01103	0.00115	-0.03433
0.03071	-0.01126	0.01001	-0.00262	-0.03433
0.05964	-0.00977	0.01086	-0.00050	-0.03312
0.06928	-0.00610	0.01039	0.00320	-0.03270
0.06928	-0.00759	0.01049	0.00320	-0.03270
0.07893	-0.00808	0.01155	0.00372	-0.03228
0.07893	-0.00562	0.01043	0.00372	-0.03228
0.08857	-0.00633	0.01058	0.00163	-0.03185
0.09821	-0.00536	0.00696	-0.00059	-0.02074
0.10785	0.00001	0.00268	0.00528	-0.00297
0.10785	-0.00257	0.00720	0.00528	-0.02026
0.15607	-0.00615	0.01258	0.00525	-0.02865
