feat_values_sorted	pred_f_3d_avg_sorted	pred_f_3d_sd_sorted	pred_f_3d_max_sorted	pred_f_3d_min_sorted
-3.10629	-0.18342	0.08715	-0.09020	-0.32952
-2.65128	-0.15334	0.05885	-0.07589	-0.23170
-2.48747	-0.11992	0.05397	-0.05972	-0.19377
-2.46017	-0.10434	0.04758	-0.05852	-0.18786
-2.38737	-0.11090	0.04631	-0.05540	-0.17268
-2.11436	-0.07820	0.03069	-0.04444	-0.12271
-1.93236	-0.06380	0.02445	-0.03679	-0.09894
-1.80495	-0.05172	0.01995	-0.03152	-0.08335
-1.62295	-0.04691	0.01427	-0.02709	-0.06422
-1.55014	-0.03952	0.01365	-0.02182	-0.05792
-1.50464	-0.03290	0.01244	-0.02016	-0.05414
-1.45914	-0.03507	0.01170	-0.01856	-0.05048
-1.44094	-0.02924	0.01130	-0.01794	-0.04905
-1.43184	-0.03140	0.01099	-0.01763	-0.04834
-1.39544	-0.02948	0.01023	-0.01642	-0.04555
-1.35904	-0.03044	0.01081	-0.01525	-0.04283
-1.34084	-0.02610	0.00945	-0.01468	-0.04150
-1.28624	-0.02565	0.00784	-0.01443	-0.03761
-1.28624	-0.02487	0.00823	-0.01303	-0.03761
-1.19523	-0.01930	0.00761	-0.01045	-0.03149
-1.18613	-0.02105	0.00671	-0.01021	-0.03090
-1.16793	-0.01834	0.00640	-0.00972	-0.02973
-1.04963	-0.01386	0.00510	-0.00678	-0.02255
-1.03143	-0.01341	0.00502	-0.00636	-0.02151
-1.00413	-0.01257	0.00427	-0.00574	-0.01997
-0.99503	-0.01235	0.00344	-0.00752	-0.01946
-0.98593	-0.01112	0.00337	-0.00534	-0.01608
-0.93132	-0.01029	0.00294	-0.00623	-0.01604
-0.90402	-0.00799	0.00275	-0.00363	-0.01198
-0.87672	-0.00733	0.00188	-0.00518	-0.01070
-0.85852	-0.00760	0.00281	-0.00274	-0.01235
-0.84942	-0.00731	0.00301	-0.00257	-0.01191
-0.84032	-0.00681	0.00270	-0.00240	-0.01146
-0.84032	-0.00787	0.00197	-0.00451	-0.01146
-0.83122	-0.00699	0.00245	-0.00223	-0.01103
-0.82212	-0.00609	0.00253	-0.00207	-0.01059
-0.80392	-0.00599	0.00239	-0.00174	-0.00974
-0.78572	-0.00518	0.00197	-0.00142	-0.00744
-0.76752	-0.00494	0.00218	-0.00111	-0.00806
-0.75842	-0.00452	0.00195	-0.00096	-0.00766
-0.71292	-0.00306	0.00187	-0.00022	-0.00532
-0.71292	-0.00319	0.00183	-0.00022	-0.00566
-0.68562	-0.00249	0.00177	0.00041	-0.00481
-0.66742	-0.00223	0.00175	0.00091	-0.00448
-0.65832	-0.00201	0.00174	0.00116	-0.00431
-0.63101	-0.00141	0.00181	0.00187	-0.00382
-0.61281	-0.00045	0.00164	0.00232	-0.00350
-0.61281	-0.00070	0.00170	0.00232	-0.00350
-0.59461	-0.00053	0.00141	0.00151	-0.00318
