feat_values_sorted	pred_f_3d_avg_sorted	pred_f_3d_sd_sorted	pred_f_3d_max_sorted	pred_f_3d_min_sorted
-2.87684	0.05195	0.03122	0.10556	0.01888
-2.73933	0.03007	0.02192	0.07508	0.01034
-2.26788	-0.00263	0.01379	0.02139	-0.02561
-2.14020	-0.01400	0.01566	0.01070	-0.03616
-2.10091	-0.01249	0.01454	0.00772	-0.03846
-2.07144	-0.01508	0.01625	0.00559	-0.04099
-1.88483	-0.02258	0.01758	-0.00224	-0.05124
-1.77678	-0.02804	0.01810	-0.00339	-0.05539
-1.63928	-0.03066	0.01913	-0.00457	-0.05890
-1.55088	-0.03707	0.01819	-0.00517	-0.06017
-1.51159	-0.03214	0.01946	-0.00539	-0.06051
-1.46248	-0.03368	0.01889	-0.00565	-0.06073
-1.42320	-0.04086	0.01437	-0.02178	-0.06075
-1.41337	-0.03022	0.01915	-0.00586	-0.06074
-1.39373	-0.03199	0.01863	-0.00594	-0.06068
-1.28569	-0.03460	0.01978	-0.00627	-0.05982
-1.25622	-0.03310	0.01897	-0.00633	-0.05943
-1.19729	-0.03557	0.01706	-0.00643	-0.05844
-1.17765	-0.03005	0.01785	-0.00645	-0.05805
-1.14818	-0.03056	0.01834	-0.00647	-0.05743
-1.13836	-0.03785	0.01696	-0.00648	-0.05720
-1.12854	-0.03244	0.01818	-0.00648	-0.05697
-1.12854	-0.02954	0.01501	-0.00648	-0.05396
-1.11872	-0.03764	0.01632	-0.00712	-0.05674
-1.11872	-0.03518	0.01983	-0.00648	-0.05674
-1.05978	-0.03507	0.01622	-0.00700	-0.05518
-1.04996	-0.03333	0.01813	-0.00648	-0.05490
-1.03032	-0.03024	0.01623	-0.00646	-0.05431
-1.03032	-0.03194	0.01845	-0.00646	-0.05431
-1.01068	-0.02726	0.01617	-0.00645	-0.05144
-0.99103	-0.03573	0.01531	-0.00681	-0.05308
-0.97139	-0.02866	0.01673	-0.00640	-0.05242
-0.97139	-0.02981	0.01610	-0.00640	-0.05242
-0.96157	-0.02472	0.01431	-0.00639	-0.04706
-0.94192	-0.02597	0.01497	-0.00636	-0.04655
-0.92228	-0.02852	0.01492	-0.00632	-0.04887
-0.91246	-0.02976	0.01617	-0.00630	-0.05033
-0.91246	-0.03110	0.01628	-0.00630	-0.05033
-0.87317	-0.02708	0.01558	-0.00622	-0.04882
-0.84370	-0.02804	0.01273	-0.00614	-0.04763
-0.78477	-0.02649	0.01618	-0.00595	-0.04512
-0.72584	-0.03029	0.00866	-0.01548	-0.04136
-0.71602	-0.02649	0.01377	-0.00557	-0.04197
-0.70620	-0.02687	0.01139	-0.00569	-0.04151
-0.68655	-0.02394	0.01227	-0.00540	-0.03960
-0.67673	-0.02535	0.01252	-0.00534	-0.04008
-0.66691	-0.02263	0.01314	-0.00528	-0.03959
-0.65709	-0.02859	0.00829	-0.01433	-0.03911
-0.63744	-0.02741	0.01105	-0.00509	-0.03812
-0.63744	-0.02360	0.01315	-0.00509	-0.03812
-0.62762	-0.02718	0.01170	-0.00536	-0.03762
-0.61780	-0.02532	0.01088	-0.00532	-0.03711
-0.60798	-0.02349	0.01151	-0.00490	-0.03660
-0.58833	-0.02403	0.01131	-0.00477	-0.03557
-0.58833	-0.02153	0.01096	-0.00477	-0.03485
-0.56869	-0.02109	0.01078	-0.00464	-0.03453
-0.55887	-0.02211	0.01135	-0.00457	-0.03400
-0.54905	-0.02258	0.00935	-0.00499	-0.03347
-0.54905	-0.01958	0.01069	-0.00450	-0.03323
-0.49994	-0.02011	0.00987	-0.00415	-0.03119
-0.49011	-0.02001	0.00968	-0.00408	-0.03077
-0.48029	-0.02262	0.01006	-0.00401	-0.03035
-0.48029	-0.01960	0.00963	-0.00401	-0.03035
-0.47047	-0.01884	0.01025	-0.00393	-0.02993
-0.43118	-0.01539	0.00756	-0.00363	-0.02353
-0.42136	-0.01827	0.00748	-0.00356	-0.02628
-0.42136	-0.01782	0.00856	-0.00356	-0.02778
-0.42136	-0.01629	0.00888	-0.00356	-0.02778
-0.41154	-0.01582	0.00857	-0.00348	-0.02734
-0.40172	-0.01639	0.00865	-0.00341	-0.02690
-0.39189	-0.01692	0.00850	-0.00333	-0.02645
