feat_values_sorted	pred_f_3d_avg_sorted	pred_f_3d_sd_sorted	pred_f_3d_max_sorted	pred_f_3d_min_sorted
-4.23832	-0.17434	0.10934	-0.09240	-0.42998
-2.51002	-0.10312	0.05835	0.00000	-0.19862
-2.24985	-0.08080	0.05107	0.00000	-0.18214
-2.13835	-0.07443	0.03737	0.00000	-0.13470
-2.11976	-0.09369	0.04151	-0.04999	-0.17475
-2.10118	-0.09410	0.05255	0.00000	-0.17374
-1.84101	-0.06162	0.03399	0.00000	-0.12237
-1.68304	-0.06617	0.03531	0.00000	-0.12592
-1.66446	-0.07612	0.04660	0.00000	-0.15141
-1.58083	-0.07117	0.04293	0.00000	-0.14728
-1.54366	-0.06309	0.03453	0.00000	-0.11675
-1.49721	-0.06385	0.03942	0.00000	-0.14313
-1.39499	-0.06535	0.04525	0.00000	-0.13797
-1.27420	-0.06458	0.03852	0.00000	-0.13168
-1.26491	-0.03517	0.02117	0.00000	-0.05616
-1.25562	-0.06107	0.03683	0.00000	-0.13068
-1.25562	-0.04681	0.02870	0.00000	-0.09682
-1.22774	-0.06840	0.03385	-0.03725	-0.12918
-1.12553	-0.05015	0.03353	0.00000	-0.12352
-1.08836	-0.05258	0.03459	0.00000	-0.12139
-1.07907	-0.05173	0.03268	0.00000	-0.12085
-1.07907	-0.05083	0.03656	0.00000	-0.12085
-1.06049	-0.05147	0.03408	0.00000	-0.11977
-1.06049	-0.05305	0.03348	0.00000	-0.11977
-1.03261	-0.05035	0.03358	0.00000	-0.11812
-1.03261	-0.04983	0.03189	0.00000	-0.11812
-0.99544	-0.04970	0.03264	0.00000	-0.11589
-0.95827	-0.05195	0.02775	-0.02787	-0.11360
-0.88394	-0.05065	0.03252	0.00000	-0.10888
-0.84677	-0.03639	0.01566	-0.02399	-0.06678
-0.81890	-0.03585	0.03255	0.00000	-0.10456
-0.79102	-0.02876	0.01612	0.00000	-0.06258
-0.77244	-0.04010	0.02839	0.00000	-0.10136
-0.76314	-0.03687	0.01588	-0.02109	-0.06213
-0.76314	-0.02826	0.02009	0.00000	-0.06213
-0.73527	-0.04076	0.02850	0.00000	-0.09873
-0.73527	-0.03652	0.02780	0.00000	-0.09873
-0.71668	-0.03717	0.02743	0.00000	-0.09739
-0.67952	-0.03980	0.02882	0.00000	-0.09466
-0.67023	-0.03099	0.02717	0.00000	-0.09396
-0.64235	-0.03052	0.01429	-0.01693	-0.05413
-0.63306	-0.03449	0.02706	0.00000	-0.09114
-0.63306	-0.03278	0.02445	0.00000	-0.09114
-0.61447	-0.01836	0.00807	0.00000	-0.02519
-0.60518	-0.03155	0.02387	0.00000	-0.08898
-0.60518	-0.03165	0.02740	0.00000	-0.08898
-0.60518	-0.03027	0.02546	0.00000	-0.08898
-0.58660	-0.03180	0.02453	0.00000	-0.08751
-0.55872	-0.03467	0.02241	-0.01407	-0.08527
-0.54014	-0.02995	0.02337	0.00000	-0.08375
-0.54014	-0.03077	0.02470	0.00000	-0.08375
-0.52155	-0.02382	0.01445	0.00000	-0.04592
-0.51226	-0.02908	0.02189	-0.01249	-0.08144
-0.50297	-0.03226	0.02400	-0.01217	-0.08066
-0.49368	-0.03067	0.02163	-0.01186	-0.07987
