feat_values_sorted	pred_f_3d_avg_sorted	pred_f_3d_sd_sorted	pred_f_3d_max_sorted	pred_f_3d_min_sorted
-2.24046	0.04098	0.03578	0.09583	0.00109
-2.07614	0.03239	0.04703	0.14042	0.00000
-1.97948	0.03025	0.04258	0.13154	0.00000
-1.82483	0.02709	0.03810	0.11737	0.00000
-1.69917	0.03069	0.03720	0.10591	0.00000
-1.61218	0.01417	0.02019	0.05558	0.00000
-1.59285	0.02236	0.03141	0.09630	0.00000
-1.59285	0.02521	0.03747	0.09630	0.00000
-1.57352	0.02456	0.03261	0.09456	0.00000
-1.55418	0.02529	0.03341	0.09283	0.00000
-1.51552	0.02957	0.03063	0.08937	0.00000
-1.44786	0.02507	0.02755	0.08336	0.00000
-1.41886	0.02170	0.02622	0.08080	0.00000
-1.38020	0.01820	0.01623	0.04240	0.00000
-1.34153	0.00921	0.01220	0.03126	0.00000
-1.34153	0.01788	0.02355	0.07403	0.00000
-1.33187	0.02197	0.02418	0.07319	0.00000
-1.28354	0.01776	0.02286	0.06900	0.00000
-1.27387	0.01645	0.02168	0.06817	0.00000
-1.20621	0.00978	0.01266	0.03319	0.00000
-1.19654	0.01094	0.01358	0.03269	0.00000
-1.17721	0.01796	0.01979	0.05992	0.00000
-1.14822	0.01722	0.01899	0.05748	0.00000
-1.14822	0.01492	0.01972	0.05748	0.00000
-1.14822	0.01492	0.01972	0.05748	0.00000
-1.12888	0.01083	0.01878	0.05586	0.00000
-1.10955	0.01624	0.01792	0.05425	0.00000
-1.09989	0.01834	0.01767	0.05345	0.00000
-1.07089	0.00566	0.00852	0.02301	0.00000
-1.02256	0.01131	0.01497	0.04708	0.00000
-1.01289	0.01112	0.01472	0.04629	0.00000
-1.00323	0.00709	0.00923	0.02320	0.00000
-0.98389	0.01136	0.01537	0.04394	0.00000
-0.97423	0.00359	0.00554	0.01431	0.00000
-0.95490	0.01240	0.01378	0.04161	0.00000
-0.93556	0.01488	0.01639	0.04007	0.00016
-0.91623	0.01153	0.01272	0.03853	0.00000
-0.88724	0.01104	0.01320	0.03625	0.00000
-0.86790	0.00894	0.01149	0.03473	0.00000
-0.86790	0.01005	0.01173	0.03473	0.00000
-0.84857	0.00884	0.01080	0.03323	0.00000
-0.83891	0.00775	0.01088	0.03248	0.00000
-0.81957	0.00695	0.01137	0.03099	0.00000
-0.80991	0.00779	0.01001	0.03025	0.00000
-0.80024	0.00881	0.00976	0.02951	0.00000
-0.79058	0.00786	0.00997	0.02877	0.00000
-0.79058	0.00507	0.00636	0.01435	0.00000
-0.74225	0.00332	0.00519	0.01286	0.00000
-0.70358	0.00586	0.00729	0.02224	0.00000
-0.68425	0.00495	0.00667	0.02082	0.00000
-0.64559	0.00339	0.00401	0.00992	0.00000
-0.61659	0.00471	0.00535	0.01592	0.00000
-0.59726	0.00422	0.00526	0.01455	0.00000
-0.58759	0.00357	0.00465	0.01387	0.00000
-0.58759	0.00307	0.00458	0.01387	0.00000
-0.57793	0.00298	0.00450	0.01319	0.00000
-0.53926	0.00179	0.00257	0.00673	-0.00000
-0.53926	0.00246	0.00346	0.01049	-0.00000
-0.44260	0.00108	0.00170	0.00396	-0.00033
-0.39427	0.00021	0.00097	0.00249	-0.00143
-0.38461	0.00022	0.00085	0.00221	-0.00066
-0.38461	-0.00022	0.00058	0.00019	-0.00175
-0.37494	0.00005	0.00075	0.00193	-0.00072
-0.37494	0.00016	0.00074	0.00193	-0.00042
-0.37494	-0.00021	0.00026	0.00000	-0.00072
-0.32661	-0.00066	0.00119	0.00000	-0.00346
-0.30728	-0.00091	0.00139	0.00000	-0.00424
-0.30728	-0.00134	0.00188	0.00002	-0.00466
-0.29761	-0.00148	0.00193	0.00000	-0.00525
-0.28795	-0.00158	0.00213	0.00000	-0.00584
-0.27828	-0.00227	0.00236	0.00000	-0.00642
-0.25895	-0.00189	0.00255	0.00000	-0.00758
-0.25895	-0.00180	0.00268	0.00000	-0.00758
-0.24928	-0.00151	0.00196	0.00000	-0.00602
-0.23962	-0.00095	0.00112	0.00000	-0.00308
-0.23962	-0.00162	0.00221	0.00000	-0.00630
-0.22995	-0.00153	0.00210	0.00000	-0.00659
-0.21062	-0.00257	0.00341	0.00000	-0.01042
-0.19129	-0.00303	0.00405	0.00000	-0.01153
-0.19129	-0.00115	0.00152	0.00000	-0.00403
-0.17196	-0.00381	0.00451	0.00000	-0.01262
-0.15262	-0.00398	0.00473	0.00000	-0.01371
-0.14296	-0.00370	0.00470	0.00000	-0.01424
-0.13329	-0.00394	0.00513	0.00000	-0.01477
-0.13329	-0.00238	0.00312	0.00000	-0.00931
-0.11396	-0.00431	0.00518	0.00000	-0.01583
-0.10430	-0.00263	0.00343	0.00000	-0.01008
-0.09463	-0.00435	0.00565	0.00000	-0.01686
-0.08496	-0.00369	0.00595	0.00000	-0.01738
-0.07530	-0.00469	0.00617	0.00000	-0.01789
-0.06563	-0.00421	0.00595	0.00000	-0.01839
-0.03663	-0.00485	0.00635	0.00000	-0.01989
0.01170	-0.00510	0.00742	0.00000	-0.02230
0.01170	-0.00583	0.00766	0.00000	-0.02230
0.02136	-0.00338	0.00480	0.00000	-0.01316
0.05036	-0.00653	0.00784	0.00000	-0.02416
0.05036	-0.00316	0.00484	0.00000	-0.01381
0.06003	-0.00617	0.00847	0.00000	-0.02461
0.09869	-0.00682	0.00876	0.00000	-0.02639
0.10836	-0.00724	0.00870	0.00000	-0.02683
0.12769	-0.00721	0.00949	0.00000	-0.02768
0.12769	-0.00747	0.00898	0.00000	-0.02768
0.12769	-0.00623	0.00916	0.00000	-0.02768
0.15668	-0.00731	0.00984	0.00000	-0.02894
0.16635	-0.00787	0.00956	0.00000	-0.02934
0.17602	-0.00802	0.00965	0.00000	-0.02975
0.18568	-0.00813	0.00978	0.00000	-0.03015
0.18568	-0.00478	0.00615	0.00000	-0.01656
0.19535	-0.00383	0.00503	0.00000	-0.01264
0.20501	-0.00730	0.01121	0.00000	-0.03094
0.21468	-0.00760	0.00996	0.00000	-0.03133
0.22435	-0.00502	0.00646	0.00000	-0.01725
0.22435	-0.00397	0.00528	0.00000	-0.01326
0.24368	-0.00939	0.01101	0.00000	-0.03246
0.25334	-0.01089	0.01273	-0.00017	-0.03283
0.27268	-0.00899	0.01092	0.00000	-0.03356
0.27268	-0.00776	0.01118	0.00000	-0.03356
0.28234	-0.00753	0.01115	0.00000	-0.03392
0.29201	-0.00884	0.01179	0.00000	-0.03427
0.30167	-0.00979	0.01209	0.00000	-0.03462
0.33067	-0.00823	0.01187	0.00000	-0.03563
0.35967	-0.00948	0.01212	0.00000	-0.03661
0.38867	-0.00421	0.00625	0.00000	-0.01653
0.41766	-0.00845	0.01259	0.00000	-0.03844
0.43700	-0.01137	0.01316	0.00000	-0.03901
0.47566	-0.01387	0.01322	-0.00019	-0.04009
0.47566	-0.00971	0.01275	0.00000	-0.04009
0.48533	-0.00954	0.01342	0.00000	-0.04035
0.49499	-0.00959	0.00852	0.00000	-0.02094
0.56265	-0.01096	0.01398	0.00000	-0.04224
0.58199	-0.00756	0.00891	0.00000	-0.02168
0.61098	-0.01055	0.01457	0.00000	-0.04326
0.63032	-0.01447	0.01606	0.00000	-0.04364
0.64965	-0.01332	0.01449	0.00000	-0.04399
0.65931	-0.01309	0.01553	0.00000	-0.04416
0.66898	-0.00697	0.01530	0.00000	-0.04432
0.67864	-0.01077	0.01417	0.00000	-0.04448
0.69798	-0.01008	0.01586	0.00000	-0.04478
0.74631	-0.01506	0.01676	0.00000	-0.04543
0.78497	-0.00816	0.00962	0.00000	-0.02253
0.80430	-0.01240	0.01499	0.00000	-0.04604
0.81397	-0.01390	0.01529	0.00000	-0.04612
0.81397	-0.01395	0.01525	0.00000	-0.04612
0.82363	-0.01449	0.01793	0.00000	-0.04620
0.85263	-0.01243	0.01517	0.00000	-0.04640
0.86230	-0.00624	0.00960	0.00000	-0.02295
0.87196	-0.00541	0.00831	0.00000	-0.02251
0.94929	-0.01133	0.01494	0.00000	-0.04669
0.95896	-0.01560	0.01604	0.00000	-0.04669
0.96862	-0.01133	0.01494	0.00000	-0.04668
0.96862	-0.01253	0.01529	0.00000	-0.04668
0.97829	-0.00995	0.01513	0.00000	-0.04666
0.97829	-0.01259	0.01524	0.00000	-0.04666
1.02662	-0.01299	0.01620	0.00000	-0.04651
1.02662	-0.01132	0.01579	0.00000	-0.04651
1.04595	-0.01131	0.01577	0.00000	-0.04640
1.07495	-0.01066	0.01552	0.00000	-0.04620
1.14261	-0.01576	0.01527	0.00000	-0.04552
1.14261	-0.01196	0.01518	0.00000	-0.04552
1.21027	-0.00938	0.01439	0.00000	-0.04453
1.25860	-0.00640	0.00809	0.00000	-0.01955
1.37459	-0.00959	0.01359	0.00000	-0.04084
1.40359	-0.00615	0.01384	0.00000	-0.04000
1.42292	-0.00969	0.01285	0.00000	-0.03940
1.43259	-0.01009	0.01363	0.00000	-0.03909
1.44225	-0.01192	0.01313	0.00000	-0.03878
1.45192	-0.00918	0.01425	0.00000	-0.03845
1.56791	-0.00846	0.01127	0.00000	-0.03405
1.56791	-0.01408	0.01152	-0.00028	-0.03405
1.60657	-0.01008	0.01118	0.00000	-0.03236
1.74190	-0.00811	0.00915	0.00000	-0.02555
1.79023	-0.00423	0.00668	0.00000	-0.01792
1.88689	-0.00629	0.00678	0.00000	-0.01666
1.91588	-0.00498	0.00612	0.00008	-0.01499
1.91588	-0.00442	0.00598	0.00008	-0.01499
1.94488	-0.00439	0.00561	0.00000	-0.01422
2.29285	0.00192	0.00435	0.01352	-0.00233
2.62150	0.01489	0.01886	0.05603	0.00000
2.90181	0.02737	0.03165	0.09709	0.00000
3.20145	0.03127	0.05189	0.14992	0.00000
